variant,feature_count,active_features,internal_overall_pass,internal_result_label,internal_separation_margin_mean,internal_assignment_score,internal_original_stability_score,h2_overall_pass,h2_result_label,h2_separation_margin_mean,h2_assignment_score,h2_original_stability_score,h2_proxy_rigidity_rows,transfer_signal,delta_internal_assignment_vs_full,delta_h2_assignment_vs_full
full,4,"['distance_to_type_D', 'spacing_cv', 'simple_rigidity_surrogate', 'grid_deviation_score']",True,supported,0.12074074074074076,0.6333333333333333,0.6,False,failed,0.0,0.16666666666666666,0.205,6,baseline,0.0,0.0
single_rigidity,1,['simple_rigidity_surrogate'],True,supported,0.3977777777777774,0.8333333333333333,0.89,False,failed,0.0,0.0,0.0,6,baseline,0.19999999999999996,-0.16666666666666666
pair_rigidity_grid,2,"['simple_rigidity_surrogate', 'grid_deviation_score']",True,supported,0.2525925925925925,0.8,0.725,False,failed,0.0,0.0,0.0,6,baseline,0.16666666666666674,-0.16666666666666666
triple_without_distance,3,"['spacing_cv', 'simple_rigidity_surrogate', 'grid_deviation_score']",True,supported,0.1639506172839505,0.7444444444444445,0.685,False,failed,0.0,0.0,0.0,6,baseline,0.11111111111111116,-0.16666666666666666
triple_without_spacing,3,"['distance_to_type_D', 'simple_rigidity_surrogate', 'grid_deviation_score']",True,supported,0.16543209876543202,0.7333333333333334,0.705,False,failed,0.0,0.16666666666666666,0.205,6,baseline,0.10000000000000009,0.0
