trial_id,candidate_edges_same_abs_delta_under_permuted_labels,candidate_edges_cross_abs_delta_under_permuted_labels,exact_same_abs_delta_rule_preserved
392,30,131,false
393,27,134,false
394,32,129,false
395,29,132,false
396,31,130,false
397,30,131,false
398,30,131,false
399,26,135,false
400,26,135,false
401,26,135,false
402,24,137,false
403,32,129,false
404,25,136,false
405,32,129,false
406,26,135,false
407,29,132,false
408,24,137,false
409,28,133,false
410,27,134,false
411,30,131,false
412,24,137,false
413,32,129,false
414,31,130,false
415,37,124,false
416,27,134,false
417,48,113,false
418,28,133,false
419,36,125,false
420,31,130,false
421,25,136,false
422,25,136,false
423,27,134,false
424,30,131,false
425,31,130,false
426,33,128,false
427,31,130,false
428,35,126,false
429,32,129,false
430,25,136,false
431,30,131,false
432,32,129,false
433,28,133,false
434,35,126,false
435,30,131,false
436,37,124,false
437,22,139,false
438,34,127,false
439,39,122,false
440,32,129,false
441,34,127,false
442,30,131,false
443,27,134,false
444,35,126,false
445,25,136,false
446,25,136,false
447,33,128,false
448,34,127,false
449,32,129,false
450,31,130,false
451,24,137,false
452,39,122,false
453,27,134,false
454,33,128,false
455,36,125,false
456,32,129,false
457,28,133,false
458,26,135,false
459,42,119,false
460,27,134,false
461,31,130,false
462,30,131,false
463,27,134,false
464,29,132,false
465,29,132,false
466,28,133,false
467,29,132,false
468,48,113,false
469,28,133,false
470,30,131,false
471,30,131,false
472,28,133,false
473,26,135,false
474,25,136,false
475,33,128,false
476,28,133,false
477,29,132,false
478,31,130,false
479,29,132,false
480,29,132,false
481,41,120,false
482,26,135,false
483,24,137,false
484,32,129,false
485,28,133,false
486,29,132,false
487,26,135,false
488,29,132,false
489,35,126,false
490,34,127,false
491,28,133,false
492,30,131,false
493,25,136,false
494,28,133,false
495,29,132,false
496,29,132,false
497,28,133,false
498,34,127,false
499,28,133,false
500,27,134,false
501,39,122,false
502,25,136,false
503,27,134,false
504,27,134,false
505,50,111,false
506,27,134,false
507,24,137,false
508,40,121,false
509,25,136,false
510,29,132,false
511,31,130,false
512,27,134,false
513,45,116,false
514,31,130,false
515,24,137,false
516,27,134,false
517,28,133,false
518,26,135,false
519,28,133,false
520,30,131,false
521,24,137,false
522,29,132,false
523,30,131,false
524,30,131,false
525,29,132,false
526,26,135,false
527,32,129,false
528,34,127,false
529,30,131,false
530,25,136,false
531,34,127,false
532,24,137,false
533,37,124,false
534,27,134,false
535,30,131,false
536,36,125,false
537,27,134,false
538,38,123,false
539,31,130,false
540,28,133,false
541,31,130,false
542,26,135,false
543,25,136,false
544,26,135,false
545,31,130,false
546,35,126,false
547,29,132,false
548,41,120,false
549,28,133,false
550,28,133,false
551,31,130,false
552,25,136,false
553,28,133,false
554,28,133,false
555,32,129,false
556,25,136,false
557,23,138,false
558,34,127,false
559,26,135,false
560,26,135,false
561,25,136,false
562,26,135,false
563,35,126,false
564,26,135,false
565,27,134,false
566,28,133,false
567,32,129,false
568,27,134,false
569,22,139,false
570,26,135,false
571,28,133,false
572,33,128,false
573,29,132,false
574,30,131,false
575,24,137,false
576,25,136,false
577,32,129,false
578,31,130,false
579,28,133,false
580,27,134,false
581,35,126,false
582,28,133,false
583,32,129,false
584,25,136,false
585,24,137,false
586,31,130,false
587,30,131,false
588,32,129,false
589,30,131,false
590,24,137,false
591,34,127,false
592,29,132,false
593,22,139,false
594,26,135,false
595,32,129,false
596,29,132,false
597,26,135,false
598,33,128,false
599,28,133,false
600,28,133,false
601,30,131,false
602,32,129,false
603,27,134,false
604,30,131,false
605,37,124,false
606,23,138,false
607,32,129,false
608,40,121,false
609,29,132,false
610,31,130,false
611,37,124,false
612,29,132,false
613,33,128,false
614,33,128,false
615,29,132,false
616,31,130,false
617,32,129,false
618,33,128,false
619,25,136,false
620,27,134,false
621,28,133,false
622,33,128,false
623,27,134,false
624,35,126,false
625,31,130,false
626,27,134,false
627,23,138,false
628,32,129,false
629,30,131,false
630,38,123,false
631,31,130,false
632,33,128,false
633,30,131,false
634,36,125,false
635,29,132,false
636,32,129,false
637,40,121,false
638,33,128,false
639,30,131,false
640,31,130,false
641,27,134,false
642,30,131,false
643,30,131,false
644,25,136,false
645,33,128,false
646,28,133,false
647,27,134,false
648,31,130,false
649,27,134,false
650,31,130,false
651,31,130,false
652,29,132,false
653,30,131,false
654,27,134,false
655,37,124,false
656,28,133,false
657,28,133,false
658,32,129,false
659,37,124,false
660,25,136,false
661,31,130,false
662,32,129,false
663,37,124,false
664,40,121,false
665,36,125,false
666,34,127,false
667,25,136,false
668,27,134,false
669,28,133,false
670,28,133,false
671,35,126,false
672,28,133,false
673,33,128,false
674,26,135,false
675,27,134,false
676,30,131,false
677,31,130,false
678,28,133,false
679,27,134,false
680,28,133,false
681,31,130,false
682,31,130,false
683,25,136,false
684,35,126,false
685,37,124,false
686,28,133,false
687,29,132,false
688,33,128,false
689,31,130,false
690,28,133,false
691,25,136,false
692,31,130,false
693,36,125,false
694,32,129,false
695,27,134,false
696,22,139,false
697,30,131,false
698,27,134,false
699,32,129,false
700,32,129,false
701,33,128,false
702,34,127,false
703,32,129,false
704,25,136,false
705,34,127,false
706,26,135,false
707,30,131,false
708,26,135,false
709,32,129,false
710,31,130,false
711,30,131,false
712,33,128,false
713,27,134,false
714,35,126,false
715,30,131,false
716,43,118,false
717,31,130,false
718,53,108,false
719,31,130,false
720,39,122,false
721,33,128,false
722,33,128,false
723,35,126,false
724,30,131,false
725,34,127,false
726,26,135,false
727,41,120,false
728,26,135,false
729,31,130,false
730,30,131,false
731,31,130,false
732,28,133,false
733,30,131,false
734,31,130,false
735,30,131,false
736,31,130,false
737,34,127,false
738,35,126,false
739,40,121,false
740,31,130,false
741,31,130,false
742,30,131,false
743,29,132,false
744,29,132,false
745,35,126,false
746,32,129,false
747,35,126,false
748,24,137,false
749,29,132,false
750,36,125,false
751,30,131,false
752,27,134,false
753,37,124,false
754,28,133,false
755,38,123,false
756,31,130,false
757,33,128,false
758,31,130,false
759,27,134,false
760,28,133,false
761,35,126,false
762,28,133,false
763,27,134,false
764,30,131,false
765,32,129,false
766,37,124,false
767,28,133,false
768,35,126,false
769,31,130,false
770,31,130,false
771,36,125,false
772,29,132,false
773,32,129,false
774,24,137,false
775,32,129,false
776,30,131,false
777,33,128,false
778,32,129,false
779,30,131,false
780,32,129,false
781,28,133,false
782,30,131,false
783,29,132,false
784,34,127,false
785,27,134,false
786,35,126,false
787,32,129,false
788,27,134,false
789,27,134,false
790,33,128,false
791,30,131,false
792,55,106,false
793,27,134,false
794,28,133,false
795,27,134,false
796,29,132,false
797,29,132,false
798,30,131,false
799,33,128,false
800,25,136,false
801,30,131,false
802,36,125,false
803,35,126,false
804,28,133,false
805,26,135,false
806,26,135,false
807,25,136,false
808,32,129,false
809,28,133,false
810,35,126,false
811,34,127,false
812,32,129,false
813,29,132,false
814,32,129,false
815,31,130,false
816,33,128,false
817,48,113,false
818,31,130,false
819,25,136,false
820,39,122,false
821,31,130,false
822,31,130,false
823,25,136,false
824,22,139,false
825,39,122,false
826,30,131,false
827,32,129,false
828,27,134,false
829,27,134,false
830,36,125,false
831,28,133,false
832,30,131,false
833,24,137,false
834,30,131,false
835,32,129,false
836,34,127,false
837,27,134,false
838,40,121,false
839,33,128,false
840,30,131,false
841,24,137,false
842,31,130,false
843,31,130,false
844,31,130,false
845,26,135,false
846,30,131,false
847,29,132,false
848,32,129,false
849,31,130,false
850,27,134,false
851,26,135,false
852,25,136,false
853,32,129,false
854,23,138,false
855,28,133,false
856,32,129,false
857,29,132,false
858,35,126,false
859,31,130,false
860,35,126,false
861,25,136,false
862,32,129,false
863,33,128,false
864,33,128,false
865,24,137,false
866,36,125,false
867,28,133,false
868,31,130,false
869,28,133,false
870,37,124,false
871,27,134,false
872,30,131,false
873,36,125,false
874,43,118,false
875,26,135,false
876,26,135,false
877,23,138,false
878,31,130,false
879,35,126,false
880,31,130,false
881,33,128,false
882,38,123,false
883,27,134,false
884,30,131,false
885,27,134,false
886,37,124,false
887,24,137,false
888,24,137,false
889,25,136,false
890,28,133,false
891,28,133,false
892,25,136,false
893,33,128,false
894,35,126,false
895,27,134,false
896,31,130,false
897,34,127,false
898,31,130,false
899,31,130,false
900,28,133,false
901,33,128,false
902,25,136,false
903,26,135,false
904,38,123,false
905,29,132,false
906,31,130,false
907,30,131,false
908,39,122,false
909,38,123,false
910,29,132,false
911,30,131,false
912,36,125,false
913,32,129,false
914,39,122,false
915,27,134,false
916,41,120,false
917,32,129,false
918,30,131,false
919,25,136,false
920,31,130,false
921,29,132,false
922,30,131,false
923,26,135,false
924,30,131,false
925,29,132,false
926,27,134,false
927,38,123,false
928,28,133,false
929,38,123,false
930,31,130,false
931,33,128,false
932,32,129,false
933,27,134,false
934,29,132,false
935,28,133,false
936,27,134,false
937,30,131,false
938,23,138,false
939,31,130,false
940,30,131,false
941,29,132,false
942,25,136,false
943,32,129,false
944,28,133,false
945,47,114,false
946,35,126,false
947,29,132,false
948,28,133,false
949,31,130,false
950,28,133,false
951,28,133,false
952,37,124,false
953,31,130,false
954,36,125,false
955,28,133,false
956,25,136,false
957,23,138,false
958,28,133,false
959,31,130,false
960,36,125,false
961,29,132,false
962,33,128,false
963,28,133,false
964,33,128,false
965,34,127,false
966,28,133,false
967,30,131,false
968,25,136,false
969,35,126,false
970,38,123,false
971,31,130,false
972,27,134,false
973,31,130,false
974,23,138,false
975,28,133,false
976,23,138,false
977,29,132,false
978,30,131,false
979,29,132,false
980,26,135,false
981,30,131,false
982,32,129,false
983,31,130,false
984,26,135,false
985,26,135,false
986,34,127,false
987,34,127,false
988,30,131,false
989,30,131,false
990,39,122,false
991,33,128,false
992,30,131,false
993,27,134,false
994,31,130,false
995,26,135,false
996,23,138,false
997,25,136,false
998,23,138,false
999,29,132,false
1000,27,134,false
