run_id,case_id,reference_mode,top_k,branch_label_none,branch_label_quadratic,pair_overlap_none_vs_quadratic,weighted_pair_shift,identity_preserved_flag
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,1,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,3,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,1,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,3,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,1,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,3,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,1,S3,S3,1.0,-9.685343084209208e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,3,S3,S3,1.0,-9.685343084209208e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,5,S3,S3,1.0,-9.685343084209208e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,1,S3,S3,1.0,1.899429551199816e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,3,S3,S3,1.0,1.899429551199816e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,5,S3,S3,1.0,1.899429551199816e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,1,S3,S3,1.0,-7.216905736351364e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,3,S3,S3,1.0,-7.216905736351364e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,5,S3,S3,1.0,-7.216905736351364e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,1,S3,S3,1.0,-0.0001446430069480531,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,3,S3,S3,1.0,-0.0001446430069480531,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,5,S3,S3,1.0,-0.0001446430069480531,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,1,S3,S3,1.0,0.000269321053409155,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,3,S3,S3,1.0,0.000269321053409155,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,5,S3,S3,1.0,0.000269321053409155,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,1,S3,S3,1.0,-0.00011609983044236216,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,3,S3,S3,1.0,-0.00011609983044236216,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,5,S3,S3,1.0,-0.00011609983044236216,1
