run_id,case_id,p_family,k0,sigma_k,t,v,nu,dispersion_mode,reference_mode,branch_label_none,branch_label_quadratic,nearest_branch_none,nearest_branch_quadratic,soft_branch_none,soft_branch_quadratic,hard_branch_change_flag,nearest_branch_change_flag,soft_branch_change_flag,x_width_delta,dispersion_sensitive_flag
config_m33_v0,P0__k0=-1__sk=0.3__t=2__nu=0.02,P0,-1.0,0.3,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0001727910429762,0
config_m33_v0,P0__k0=-1__sk=0.3__t=5__nu=0.02,P0,-1.0,0.3,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0010796503065646,0
config_m33_v0,P0__k0=-1__sk=0.3__t=10__nu=0.02,P0,-1.0,0.3,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0043144157450334,0
config_m33_v0,P0__k0=-1__sk=0.5__t=2__nu=0.02,P0,-1.0,0.5,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0007996802557443,0
config_m33_v0,P0__k0=-1__sk=0.5__t=5__nu=0.02,P0,-1.0,0.5,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0049875621120895,0
config_m33_v0,P0__k0=-1__sk=0.5__t=10__nu=0.02,P0,-1.0,0.5,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.019803902718557,0
config_m33_v0,P0__k0=-1__sk=0.8__t=2__nu=0.02,P0,-1.0,0.8,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0032682548084058,0
config_m33_v0,P0__k0=-1__sk=0.8__t=5__nu=0.02,P0,-1.0,0.8,5.0,1.0,0.02,none_vs_quadratic,pruned,S2,S2,S2,S2,S2,S2,0,0,0,0.0201550201308208,0
config_m33_v0,P0__k0=-1__sk=0.8__t=10__nu=0.02,P0,-1.0,0.8,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0771573897638622,0
config_m33_v0,P0__k0=-1__sk=1__t=2__nu=0.02,P0,-1.0,1.0,2.0,1.0,0.02,none_vs_quadratic,pruned,S2,S2,S2,S2,S2,S2,0,0,0,0.0063595560450049,0
config_m33_v0,P0__k0=-1__sk=1__t=5__nu=0.02,P0,-1.0,1.0,5.0,1.0,0.02,none_vs_quadratic,pruned,S2,S2,S2,S2,S2,S2,0,0,0,0.0385164807026746,0
config_m33_v0,P0__k0=-1__sk=1__t=10__nu=0.02,P0,-1.0,1.0,10.0,1.0,0.02,none_vs_quadratic,pruned,S2,S2,S2,S2,S2,S2,0,0,0,0.1403124237096746,0
config_m33_v0,P0__k0=3.5__sk=0.3__t=2__nu=0.02,P0,3.5,0.3,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0001727910429765,0
config_m33_v0,P0__k0=3.5__sk=0.3__t=5__nu=0.02,P0,3.5,0.3,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0010796503065648,0
config_m33_v0,P0__k0=3.5__sk=0.3__t=10__nu=0.02,P0,3.5,0.3,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0043144157450336,0
config_m33_v0,P0__k0=3.5__sk=0.5__t=2__nu=0.02,P0,3.5,0.5,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0007996802557445,0
config_m33_v0,P0__k0=3.5__sk=0.5__t=5__nu=0.02,P0,3.5,0.5,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.004987562112089,0
config_m33_v0,P0__k0=3.5__sk=0.5__t=10__nu=0.02,P0,3.5,0.5,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0198039027185572,0
config_m33_v0,P0__k0=3.5__sk=0.8__t=2__nu=0.02,P0,3.5,0.8,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0032682492666706,0
config_m33_v0,P0__k0=3.5__sk=0.8__t=5__nu=0.02,P0,3.5,0.8,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.02015498665749,0
config_m33_v0,P0__k0=3.5__sk=0.8__t=10__nu=0.02,P0,3.5,0.8,10.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0771572696330213,0
config_m33_v0,P0__k0=3.5__sk=1__t=2__nu=0.02,P0,3.5,1.0,2.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0063561784835833,0
config_m33_v0,P0__k0=3.5__sk=1__t=5__nu=0.02,P0,3.5,1.0,5.0,1.0,0.02,none_vs_quadratic,pruned,S3,S3,S3,S3,S3,S3,0,0,0,0.0384971006053515,0
