family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
ER1_RING,RING_SIGNED,type_A_ladder,ring_schrodinger_quadratic,delta_p,all_pairs,5,0.5977153639905991,0.6254778500673445,0.5580374321407071,0.7703945430349207,0,1,0.0,0.997,1,1,{}
ER1_RING,RING_SIGNED,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p,all_pairs,5,0.5977153639905991,0.6254344070429818,0.560199969167481,0.7819282549025494,0,2,0.0,0.0,0,0,{}
ER1_RING,RING_SIGNED,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p2,all_pairs,5,0.013153158994732685,0.16813731897048886,0.008029960485499614,0.4741284240977388,0,3,-0.5845622049958664,0.002,0,0,{}
ER1_RING,RING_SIGNED,type_A_ladder,ring_schrodinger_quadratic,delta_p2,all_pairs,5,0.0,0.1598065642080877,0.005775884392263951,0.444493968195581,0,4,-0.5977153639905991,0.001,0,0,{}
ER1_RING,RING_SIGNED,type_A_ladder,ring_schrodinger_quadratic,delta_E_quad,all_pairs,5,0.0,0.16150251084527695,0.006453600399628832,0.40855300577986864,0,5,-0.5977153639905991,0.0,0,0,{}
ER1_RING,RING_ABS,type_A_ladder,ring_schrodinger_quadratic,delta_p,unique_abs_pairs,5,0.7071067811865475,0.48366103833159857,0.0,0.7071067811865475,1,1,0.0,0.789,1,1,{}
ER1_RING,RING_ABS,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p,unique_abs_pairs,5,0.7071067811865475,0.46810468914549447,0.0,0.7071067811865475,1,2,0.0,0.0,0,0,{}
ER1_RING,RING_ABS,type_A_ladder,ring_schrodinger_quadratic,delta_p2,unique_abs_pairs,5,0.6488856845230501,0.4587564534463452,0.0,0.7071067811865476,1,3,-0.058221096663497396,0.211,0,0,{}
ER1_RING,RING_ABS,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p2,unique_abs_pairs,5,0.6488856845230501,0.45371562464838605,0.0,0.7071067811865476,1,4,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_ABS,type_A_ladder,ring_schrodinger_quadratic,delta_E_quad,unique_abs_pairs,5,0.6488856845230501,0.47216707567712435,0.0,0.7071067811865476,1,5,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,ring_schrodinger_quadratic,delta_p,degeneracy_safe_pairs,5,0.7071067811865475,0.45537676708413666,0.0,0.7071067811865475,1,1,0.0,0.779,1,1,{}
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p,degeneracy_safe_pairs,5,0.7071067811865475,0.47305443661380037,0.0,0.7071067811865475,1,2,0.0,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,ring_schrodinger_quadratic,delta_p2,degeneracy_safe_pairs,5,0.6488856845230501,0.45730937965098223,0.0,0.7071067811865476,1,3,-0.058221096663497396,0.221,0,0,{}
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,ring_schrodinger_quadratic,abs_delta_p2,degeneracy_safe_pairs,5,0.6488856845230501,0.4680155163196583,0.0,0.7071067811865476,1,4,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,ring_schrodinger_quadratic,delta_E_quad,degeneracy_safe_pairs,5,0.6488856845230501,0.4504045215078827,0.0,0.7071067811865476,1,5,-0.058221096663497396,0.0,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,type_C_multiindex_structure,cavity_helmholtz_linear_energy,abs_delta_k,all_pairs,6,0.5608339881559857,0.5723503883348721,0.5194489230330821,0.6252416818338346,0,1,0.001306775412801442,0.511,1,0,{}
ER2_CAVITY,CAVITY_STANDARD,type_C_multiindex_structure,cavity_helmholtz_linear_energy,abs_delta_k2,all_pairs,6,0.5595272127431843,0.572236804421678,0.5161233026887163,0.6296149155389006,0,2,-0.001306775412801442,0.463,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,type_C_multiindex_structure,cavity_helmholtz_linear_energy,delta_k,all_pairs,6,0.4361603081926553,0.4538893234514311,0.20491307391664804,0.6024467357215328,0,3,-0.12467367996333045,0.019,0,0,{}
