run_id,t,p_family,alpha,n_nodes,n_pairs,I_net,I_abs,f_pos,f_neg,f_zero,mean_kpos,mean_kneg,sum_kpos,sum_kneg,lambda_max_kpos,lambda_max_kneg,lambda_max_kabs,sign_imbalance,source_peak_flag,source_feature,finite_fraction
M33_V0_alpha_peak_robustness,0.0,P0,0.3,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.4,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.5,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.6,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.7,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.8,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,0.9,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.0,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.1,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.2,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.3,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.32,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.34,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.36,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,0.0,P0,1.38,7,21,6.030261121007009e-08,1.5066940651395156e-07,0.6666666666666666,0.3333333333333333,0.0,1.0548600886201083e-07,4.5183397651940745e-08,2.2152061861022273e-06,9.488513506907556e-07,6.556907796475585e-07,2.7924763246743397e-07,9.291092023324682e-07,-0.3333333333333333,0,lambda_max_kneg,1.0
