run_id,t,p_family,alpha,pair_i,pair_j,p_i,p_j,kbar_ij,kbar_abs_ij,kbar_sign
M33_V0_alpha_peak_robustness,0.0,P0,0.4,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.5,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.6,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.7,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.8,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,0.9,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.0,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.1,5,6,2.0,3.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,1,-3.0,-2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,2,-3.0,-1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,3,-3.0,0.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,4,-3.0,1.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,5,-3.0,2.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,0,6,-3.0,3.0,5.7018121272416414e-08,5.7018121272416414e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,1,2,-2.0,-1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,1,3,-2.0,0.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,1,4,-2.0,1.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,1,5,-2.0,2.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,1,6,-2.0,3.0,-6.655996322233858e-08,6.655996322233858e-08,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,2,3,-1.0,0.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,2,4,-1.0,1.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,2,5,-1.0,2.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,2,6,-1.0,3.0,3.0156550399960784e-08,3.0156550399960784e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,3,4,0.0,1.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,3,5,0.0,2.0,-1.631462848492157e-07,1.631462848492157e-07,-1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,3,6,0.0,3.0,5.1799379817266996e-08,5.1799379817266996e-08,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,4,5,1.0,2.0,3.100868157268101e-07,3.100868157268101e-07,1
M33_V0_alpha_peak_robustness,0.0,P0,1.2,4,6,1.0,3.0,-1.631462848492157e-07,1.631462848492157e-07,-1
