run_id,t,p_family,alpha_star_source,source_feature,source_peak_type,source_peak_value,source_prominence,source_width,source_in_band_flag,t0_control_flag,source_label
M33_V0_alpha_peak_robustness,0.0,P0,,I_abs,max,,,,0,1,Q0
M33_V0_alpha_peak_robustness,0.0,P1,,I_abs,max,,,,0,1,Q0
M33_V0_alpha_peak_robustness,0.0,P2,,I_abs,max,,,,0,1,Q0
M33_V0_alpha_peak_robustness,0.0,P3,,I_abs,max,,,,0,1,Q0
M33_V0_alpha_peak_robustness,2.0,P0,,I_abs,max,,,,0,0,Q0
M33_V0_alpha_peak_robustness,2.0,P1,2.9,sign_imbalance,max,0.4285714285714286,0.33333333333333337,0.2999999999999998,0,0,Q0
M33_V0_alpha_peak_robustness,2.0,P2,2.9,sign_imbalance,max,0.5238095238095237,0.47619047619047605,0.20000000000000018,0,0,Q0
M33_V0_alpha_peak_robustness,2.0,P3,1.78,I_abs,max,6.058464387821605e-08,1.0115678893315125e-08,0.1200000000000001,1,0,Q2
M33_V0_alpha_peak_robustness,5.0,P0,1.2,sign_imbalance,max,0.4285714285714286,0.38095238095238093,0.41999999999999993,0,0,Q0
M33_V0_alpha_peak_robustness,5.0,P1,1.2,sign_imbalance,max,0.4285714285714286,0.38095238095238093,0.41999999999999993,0,0,Q0
M33_V0_alpha_peak_robustness,5.0,P2,1.0,sign_imbalance,max,0.4285714285714286,0.38095238095238093,0.20000000000000007,0,0,Q0
M33_V0_alpha_peak_robustness,5.0,P3,1.68,I_abs,max,7.354812570247993e-08,2.0631636535862833e-08,0.08000000000000007,1,0,Q2
M33_V0_alpha_peak_robustness,10.0,P0,0.6,sign_imbalance,max,0.4285714285714286,0.47619047619047616,0.30000000000000004,0,0,Q0
M33_V0_alpha_peak_robustness,10.0,P1,0.6,sign_imbalance,max,0.4285714285714286,0.4285714285714286,0.30000000000000004,0,0,Q0
M33_V0_alpha_peak_robustness,10.0,P2,0.5,sign_imbalance,max,0.4285714285714286,0.38095238095238093,0.19999999999999996,0,0,Q0
M33_V0_alpha_peak_robustness,10.0,P3,1.64,sign_imbalance,max,0.7142857142857142,0.6666666666666665,0.07999999999999985,1,0,Q2
M33_V0_alpha_peak_robustness,20.0,P0,2.2,lambda_max_kneg,max,8.736974503745196e-07,4.789564885468767e-07,0.19999999999999973,0,0,Q0
M33_V0_alpha_peak_robustness,20.0,P1,2.2,lambda_max_kneg,max,8.344833928630261e-07,4.496198063803294e-07,0.19999999999999973,0,0,Q0
M33_V0_alpha_peak_robustness,20.0,P2,0.9,sign_imbalance,max,0.4285714285714286,0.38095238095238093,0.30000000000000004,0,0,Q0
M33_V0_alpha_peak_robustness,20.0,P3,1.66,sign_imbalance,max,0.7142857142857142,0.7142857142857142,0.040000000000000036,1,0,Q2
M33_V0_alpha_peak_robustness,40.0,P0,1.1,sign_imbalance,max,0.4285714285714286,0.5714285714285714,0.19999999999999996,0,0,Q0
M33_V0_alpha_peak_robustness,40.0,P1,0.8,sign_imbalance,max,0.4285714285714286,0.4761904761904763,0.20000000000000007,0,0,Q0
M33_V0_alpha_peak_robustness,40.0,P2,1.74,sign_imbalance,max,0.5238095238095237,0.47619047619047605,0.06000000000000005,1,0,Q2
M33_V0_alpha_peak_robustness,40.0,P3,1.58,sign_imbalance,max,0.3333333333333333,0.380952380952381,0.040000000000000036,1,0,Q2
