source_file,column_label,unit,used_for,claim_boundary
MassModels_Lelli2016c.mrt,ID,---,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,D,Mpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,R,kpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,Vobs,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,e_Vobs,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,Vgas,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,Vdisk,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,Vbul,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,SBdisk,solLum/pc2,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
MassModels_Lelli2016c.mrt,SBbul,solLum/pc2,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
RAR.mrt,gbar,[m/s2],direct_RAR_baseline,standard_baseline_mapping_only
RAR.mrt,e_gbar,[m/s2],direct_RAR_baseline,standard_baseline_mapping_only
RAR.mrt,gobs,[m/s2],direct_RAR_baseline,standard_baseline_mapping_only
RAR.mrt,e_gobs,[m/s2],direct_RAR_baseline,standard_baseline_mapping_only
RARbins.mrt,gbar,[m/s2],parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
RARbins.mrt,gobs,[m/s2],parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
RARbins.mrt,sd,[m/s2],parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
RARbins.mrt,N,--,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Galaxy,---,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,T,---,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,D,Mpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,e_D,Mpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,f_D,---,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Inc,deg,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,e_Inc,deg,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,L[3.6],10+9solLum,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,e_L[3.6],10+9solLum,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Reff,kpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,SBeff,solLum/pc2,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Rdisk,kpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,SBdisk,solLum/pc2,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,MHI,10+9solMass,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,RHI,kpc,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Vflat,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,e_Vflat,km/s,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
SPARC_Lelli2016c.mrt,Q,---,parser_profile_or_massmodels_preparation,standard_baseline_mapping_only
