row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
30,D631-7,4.49,51.80,19.90,14.49,0.00,1.9367012518059457e-11,-10.712937366734996,24.616459940454476,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
31,D631-7,4.94,54.80,19.43,13.72,0.00,1.9700789144479764e-11,-10.705516377177046,23.785779364990336,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
32,D631-7,5.39,56.60,18.84,13.04,0.00,1.9261652876609259e-11,-10.715306448032335,22.912599154177162,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
33,D631-7,5.84,58.40,18.25,12.45,0.00,1.8926151050355092e-11,-10.722937698109739,22.092193191261025,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
34,D631-7,6.29,58.50,17.65,11.93,0.00,1.7632363948014273e-11,-10.753689458503047,21.303694515271285,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
35,D631-7,6.74,57.70,17.06,11.48,0.00,1.6008151454828236e-11,-10.795658815445995,20.562927807099843,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
36,D631-7,7.19,57.30,16.47,11.08,0.00,1.4798912702697897e-11,-10.82977019167024,19.850120906432785,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
37,DDO064,0.10,6.29,-1.13,1.96,0.00,1.2821851588550581e-11,-10.892049254331601,1.6014680764848235,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
38,DDO064,0.30,13.90,-2.45,6.31,0.00,2.0871698883784862e-11,-10.68044219943361,5.8149462594249304,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
39,DDO064,0.49,15.60,-0.64,9.67,0.00,1.6095429548554707e-11,-10.793297428541729,9.6487978525824651,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
40,DDO064,0.69,18.40,2.49,13.92,0.00,1.5901423713540348e-11,-10.798563989940321,14.140951170271396,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
41,DDO064,0.89,22.50,1.87,15.16,0.00,1.8434208036867524e-11,-10.734375515644325,15.274897708331798,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
42,DDO064,1.09,26.50,4.97,16.41,0.00,2.0879240880846838e-11,-10.680285295289146,17.146107429967888,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
43,DDO064,1.29,35.30,9.29,17.34,0.00,3.1304671820028899e-11,-10.504390844745743,19.671799612643476,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
44,DDO064,1.48,40.50,13.62,18.34,0.00,3.591681236156162e-11,-10.444702214187759,22.844255295369116,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
45,DDO064,1.68,44.20,16.26,19.12,0.00,3.7686405065655297e-11,-10.423815288249818,25.099043806487931,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
46,DDO064,1.88,46.30,18.16,19.54,0.00,3.6953330611643565e-11,-10.432346412449911,26.675779276339799,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
47,DDO064,2.08,46.40,19.64,19.10,0.00,3.3544558552894904e-11,-10.474377919075138,27.395977806970134,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
48,DDO064,2.27,46.30,20.17,18.77,0.00,3.0604520506559424e-11,-10.514214420379355,27.55252801468497,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
