family_id,variant_id,block_id,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
ER1_RING,RING_DEGEN_SAFE,dispersion_corrected_energy,ring_schrodinger_quadratic,delta_p2,degeneracy_safe_pairs,3,0.6488856845230501,0.4508120691845272,0.0,0.7071067811865476,1,3,-0.058221096663497396,0.227,0,0,{}
ER1_RING,RING_DEGEN_SAFE,dispersion_corrected_energy,ring_schrodinger_quadratic,abs_delta_p2,degeneracy_safe_pairs,3,0.6488856845230501,0.44546322766080143,0.0,0.7071067811865476,1,4,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,dispersion_corrected_energy,ring_schrodinger_quadratic,delta_E_quad,degeneracy_safe_pairs,3,0.6488856845230501,0.4546556158162266,0.0,0.7071067811865476,1,5,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,delta_p,all_pairs,15,0.5977153639905991,0.6242002930773466,0.561955337235867,0.749812264153424,0,1,0.0,0.998,1,1,{}
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,abs_delta_p,all_pairs,15,0.5977153639905991,0.6229306945836744,0.557648547121568,0.7522599566975617,0,2,0.0,0.0,0,0,{}
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,abs_delta_p2,all_pairs,15,0.013153158994732685,0.16523278920684112,0.007380090492051088,0.48462817668320857,0,3,-0.5845622049958664,0.001,0,0,{}
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,delta_p2,all_pairs,15,0.0,0.16081896151228872,0.007373828164017767,0.4545743758122191,0,4,-0.5977153639905991,0.001,0,0,{}
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,delta_E_quad,all_pairs,15,0.0,0.16268159278173794,0.006507926557648551,0.4345484624819073,0,5,-0.5977153639905991,0.0,0,0,{}
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,delta_p,unique_abs_pairs,3,0.7071067811865475,0.4617407281148156,0.0,0.7071067811865475,1,1,0.0,0.769,1,1,{}
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,abs_delta_p,unique_abs_pairs,3,0.7071067811865475,0.482953931550412,0.0,0.7071067811865475,1,2,0.0,0.0,0,0,{}
