alpha,run_kind,lmax_abs,lmax_pos,lmax_neg,rho_pos,rho_neg,chi,lambda2_abs,lambda2_pos,lambda2_neg,weighted_clustering_abs,weighted_clustering_pos,weighted_clustering_neg
0.3,n1a,0.1398498921870749,0.0436084955297014,0.09673743076481359,0.311823590620771,0.6917233131321225,0.3798997225113516,1.2291066864510527,0.0,0.8993100320597428,0.8444238137287647,0.0,0.0
0.4,n1a,0.13644286143318674,0.0420439130052701,0.09491269904815589,0.3081430025993565,0.6956223143607457,0.38747931176138917,1.2368869696550462,1.1102230246251565e-16,0.917144600826058,0.8241036208235031,0.0,0.0
0.5,n1a,0.13212351609269674,0.04005924159996001,0.09260236010228354,0.30319539461737294,0.7008772006742123,0.39768180605683945,1.247352394310064,0.0,0.9408263443243696,0.797960790223184,0.0,0.0
0.6,n1a,0.1269372872010748,0.03767431149440785,0.08983345015731868,0.29679467968091927,0.7076994643427202,0.410904784661801,1.2609067457449126,2.7755575615628914e-16,0.9709786098226199,0.7659668115676979,0.0,0.0
0.7,n1a,0.12093939189954062,0.03491295212187523,0.08663948543536776,0.2886813929978744,0.7163876390856638,0.42770624608778945,1.2781196771357708,1.1102230246251565e-16,0.9915622647872806,0.7280660580073026,0.0,0.0
0.8,n1a,0.11419492901852447,0.03180275407242842,0.0830611589487597,0.2784953267694526,0.7273629368891301,0.44886761011967746,1.2407776607098997,0.0,0.9456890081853959,0.6841577070705214,0.0,0.0
0.9,n1a,0.10677943561941257,0.02837479341688272,0.07914779474159883,0.2657327532430239,0.7412269439567043,0.4754941907136804,1.1871864716918243,0.0,0.8899393147405764,0.6340665975802919,0.0,0.0
1.0,k0,0.09878054385134485,0.024663321204975212,0.07496039991068484,0.24967792485624618,0.7588579389023509,0.5091800140461047,1.1198145377947115,1.1102230246251565e-16,0.8223722020940606,0.5774939548539433,0.0,0.0
1.1,n1a,0.09030238295633392,0.02070542124019766,0.07057827928580053,0.22928986547575217,0.7815771519554356,0.5522872864796835,1.0342719893009482,0.0,0.7403823538335258,0.5139282015392844,0.0,0.0
1.2,n1a,0.08147756181152174,0.016540639550690347,0.06611416684750654,0.20300852385535345,0.8114401729453486,0.6084316490899951,0.923892013503985,0.0,0.6404132664547154,0.4424673896617594,0.0,0.0
1.3,n1a,0.07250362319828205,0.01221058925840103,0.061751143805399256,0.16841350431560717,0.8516973508554595,0.6832838465398523,0.7780479273544681,-4.440892098500626e-16,0.5174976686523134,0.36141331743862615,0.0,0.0
1.4,n1a,0.06377768551406966,0.007758534794525954,0.057835636893477954,0.12164967624631634,0.9068318554883766,0.7851821792420602,0.5786568703480548,-2.220446049250313e-16,0.3644871192160783,0.26711577973267264,0.0,0.0
1.5,n1a,0.056525260176729,0.0032289596156145897,0.05507109284110941,0.057124188469351384,0.9742740266727997,0.9171498382034483,0.2919943533685437,-2.220446049250313e-16,0.17068546550842834,0.14889775348385992,0.0,0.0
1.6,n1a,0.05479256192158109,0.001588515655978607,0.05448454965445145,0.028991447018887062,0.9943785751874412,0.9653871281685541,0.13243951210676871,0.0,0.06281111470761218,0.08254803243230367,0.0,0.0
1.7,n1a,0.06044289670571577,0.007009412491863038,0.055907801442844324,0.11596751436302677,0.9249689291869662,0.8090014148239394,0.47286664254517163,0.0,0.2490830978496824,0.22207523923029637,0.0,0.0
1.8,n1a,0.06880653829515845,0.012360273595132504,0.05859395253567841,0.17963806785498798,0.8515753587882702,0.6719372909332821,0.7030574917325413,1.1102230246251565e-16,0.3996026409034993,0.32413887151869786,0.0,0.0
1.9,n1a,0.07774770867569428,0.017587634930402628,0.06191635089430922,0.2262141898453263,0.7963752494954967,0.5701610596501704,0.8683498804246177,2.7755575615628914e-16,0.5228117994333192,0.410063097606724,0.0,0.0
2.0,n1a,0.08666485605481784,0.02263926643114734,0.06548710428818044,0.261227762460338,0.7556362206008638,0.49440845814052575,0.9918720851391869,0.0,0.6246043310009473,0.4852370571362735,0.0,0.0
2.1,n1a,0.09530572666811371,0.02746469386525855,0.06909029804339319,0.28817464412080673,0.7249333325371792,0.43675868841637244,1.086759457672904,0.0,0.7092242078323414,0.551944700939698,0.0,0.0
