table_schema,table_name,column_name,data_type
admin,etl_run,claim_boundary,text
canonical,obs_artifact,source_run_id,text
canonical,obs_artifact,claim_boundary,text
canonical,obs_baseline_quantity,claim_boundary,text
canonical,obs_dataset,claim_boundary,text
canonical,obs_massmodel_point,lineage_hash,text
canonical,obs_massmodel_point,claim_boundary,text
canonical,obs_measurement,source_file_id,text
canonical,obs_measurement,claim_boundary,text
canonical,obs_quantity_definition,claim_boundary,text
canonical,obs_rar_point,lineage_hash,text
canonical,obs_rar_point,claim_boundary,text
canonical,obs_source_file,source_file_id,text
canonical,obs_source_file,claim_boundary,text
canonical,qsb_claim_boundary_event,claim_event_id,text
canonical,qsb_claim_boundary_event,claim_boundary,text
canonical,qsb_claim_boundary_event,claim_status,text
information_schema,foreign_data_wrappers,authorization_identifier,name
information_schema,foreign_servers,authorization_identifier,name
information_schema,user_defined_types,source_dtd_identifier,name
information_schema,user_mapping_options,authorization_identifier,name
information_schema,user_mappings,authorization_identifier,name
mart,v_de_sparc_metadaten,claim_boundary,text
mart,v_qsb_claim_boundaries,claim_boundary_id,text
mart,v_qsb_claim_boundaries,claim_boundary,text
mart,v_qsb_claim_boundaries,claim_status,text
mart,v_qsb_obs_search_sparc_rar,claim_boundary,text
mart,v_qsb_validation_status,notes,text
mart,v_sparc_baseline_quantities,claim_boundary,text
mart,v_sparc_dataset_lineage,source_id,text
mart,v_sparc_dataset_lineage,source_path,text
mart,v_sparc_dataset_lineage,source_sha256,text
mart,v_sparc_dataset_lineage,lineage_role,text
mart,v_sparc_field_metadata,claim_boundary,text
mart,v_sparc_massmodels_gobs_points,claim_boundary,text
mart,v_sparc_rar_direct_points,claim_boundary,text
mart,v_sparc_validation_status,notes,text
metadata,meta_claim,claim_id,text
metadata,meta_claim,claim_boundary,text
metadata,meta_claim,claim_status,text
metadata,meta_field,claim_boundary,text
metadata,meta_lineage,lineage_id,text
metadata,meta_lineage,source_id,text
metadata,meta_lineage,source_path,text
metadata,meta_lineage,source_sha256,text
metadata,meta_lineage,lineage_role,text
metadata,meta_search_token,source_table,text
metadata,meta_search_token,source_id,text
metadata,meta_search_token,claim_boundary,text
pg_catalog,pg_cast,castsource,oid
pg_catalog,pg_settings,source,text
pg_catalog,pg_settings,sourcefile,text
pg_catalog,pg_settings,sourceline,integer
qsb_literature,litnote_run,source_bib_file,text
qsb_literature,litnote_run,source_sha256,text
qsb_literature,litnote_run,source_entry_count,integer
qsb_literature,litnote_run,claim_map_count,integer
qsb_literature,litnote_run,claim_boundary,text
qsb_literature,litnote_run,physical_claim_status,text
qsb_literature,litnote_run,lineage_note,text
qsb_literature,reference_claim_map,claim_map_id,text
qsb_literature,reference_claim_map,allowed_claim,text
qsb_literature,reference_claim_map,forbidden_claim,text
qsb_literature,reference_source,title,text
qsb_literature,reference_source,authors,text
qsb_literature,reference_source,year,integer
qsb_literature,reference_source,booktitle,text
qsb_literature,reference_source,doi,text
qsb_literature,reference_source,arxiv_id,text
qsb_literature,reference_source,url,text
qsb_literature,reference_source,note,text
qsb_literature,reference_source,keywords,text
qsb_literature,reference_source,source_file,text
qsb_literature,reference_source,source_sha256,text
qsb_literature,reference_source,claim_status,text
qsb_literature,reference_source,physical_claim_release,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,title,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,authors,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,year,integer
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,arxiv_id,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,allowed_claim,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,forbidden_claim,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,claim_status,text
qsb_literature,v_planck_bridge_lit_addendum_ashreurov_2014_claim_boundary,physical_claim_release,text
qsb_literature,v_planck_bridge_litnote01_claim_boundary,title,text
qsb_literature,v_planck_bridge_litnote01_claim_boundary,authors,text
qsb_literature,v_planck_bridge_litnote01_claim_boundary,year,integer
qsb_literature,v_planck_bridge_litnote01_claim_boundary,claim_status,text
qsb_literature,v_planck_bridge_litnote01_claim_boundary,physical_claim_release,text
qsb_metadata,lit_addendum_ashreurov_2014_catalog_object,lineage_note,text
qsb_metadata,lit_addendum_ashreurov_2014_catalog_object,claim_status,text
qsb_metadata,lit_addendum_ashreurov_2014_catalog_object,physical_claim_release,text
qsb_metadata,lit_addendum_ashreurov_2014_claim_boundary_metadata,allowed_claim,text
qsb_metadata,lit_addendum_ashreurov_2014_claim_boundary_metadata,forbidden_claim,text
qsb_metadata,lit_addendum_ashreurov_2014_claim_boundary_metadata,physical_claim_release,text
qsb_metadata,lit_addendum_ashreurov_2014_field_metadata,claim_status,text
qsb_metadata,lit_addendum_ashreurov_2014_field_metadata,physical_claim_release,text
qsb_metadata,lit_addendum_ashreurov_2014_lineage_edge,lineage_edge_id,text
qsb_metadata,lit_addendum_ashreurov_2014_lineage_edge,source_object,text
qsb_metadata,lit_addendum_ashreurov_2014_lineage_edge,claim_status,text
qsb_metadata,lit_addendum_ashreurov_2014_lineage_edge,physical_claim_release,text
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,source_run_id,text
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,lineage_edge_count,integer
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,claim_boundary_count,integer
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,physical_claim_status,text
qsb_metadata,lit_addendum_ashreurov_2014_metadata_integration_run,claim_boundary,text
qsb_metadata,litnote01_catalog_object,source_run_id,text
qsb_metadata,litnote01_catalog_object,claim_status,text
qsb_metadata,litnote01_catalog_object,physical_claim_release,text
qsb_metadata,litnote01_catalog_object,lineage_note,text
qsb_metadata,litnote01_claim_boundary_metadata,allowed_claim_scope,text
qsb_metadata,litnote01_claim_boundary_metadata,forbidden_claim_scope,text
qsb_metadata,litnote01_claim_boundary_metadata,physical_claim_release,text
qsb_metadata,litnote01_field_metadata,is_lineage_field,boolean
qsb_metadata,litnote01_field_metadata,is_claim_control_field,boolean
qsb_metadata,litnote01_field_metadata,is_source_reference_field,boolean
qsb_metadata,litnote01_field_metadata,physical_claim_release,text
qsb_metadata,litnote01_lineage_edge,lineage_edge_id,text
qsb_metadata,litnote01_lineage_edge,source_node,text
qsb_metadata,litnote01_lineage_edge,transformation_note,text
qsb_metadata,litnote01_lineage_edge,source_run_id,text
qsb_metadata,litnote01_lineage_edge,physical_claim_release,text
qsb_metadata,litnote01_metadata_integration_run,source_run_id,text
qsb_metadata,litnote01_metadata_integration_run,source_schema,text
qsb_metadata,litnote01_metadata_integration_run,lineage_edge_count,integer
qsb_metadata,litnote01_metadata_integration_run,claim_boundary_count,integer
qsb_metadata,litnote01_metadata_integration_run,physical_claim_status,text
qsb_metadata,litnote01_metadata_integration_run,claim_boundary,text
qsb_metadata,litnote01_metadata_integration_run,integration_note,text
qsb_metadata,litnote01_validation_result,validation_note,text
qsb_metadata,scale_mapping_note01_catalog_object,lineage_note,text
qsb_metadata,scale_mapping_note01_catalog_object,claim_status,text
qsb_metadata,scale_mapping_note01_catalog_object,physical_claim_release,text
qsb_metadata,scale_mapping_note01_claim_boundary_metadata,allowed_claim,text
qsb_metadata,scale_mapping_note01_claim_boundary_metadata,forbidden_claim,text
qsb_metadata,scale_mapping_note01_claim_boundary_metadata,claim_status,text
qsb_metadata,scale_mapping_note01_claim_boundary_metadata,physical_claim_release,text
qsb_metadata,scale_mapping_note01_field_metadata,claim_status,text
qsb_metadata,scale_mapping_note01_field_metadata,physical_claim_release,text
qsb_metadata,scale_mapping_note01_lineage_edge,lineage_edge_id,text
qsb_metadata,scale_mapping_note01_lineage_edge,source_ref,text
qsb_metadata,scale_mapping_note01_lineage_edge,claim_status,text
qsb_metadata,scale_mapping_note01_lineage_edge,physical_claim_release,text
qsb_metadata,scale_mapping_note01_metadata_integration_run,source_run_id,text
qsb_metadata,scale_mapping_note01_metadata_integration_run,lineage_edge_count,integer
qsb_metadata,scale_mapping_note01_metadata_integration_run,claim_boundary_count,integer
qsb_metadata,scale_mapping_note01_metadata_integration_run,physical_claim_status,text
qsb_metadata,scale_mapping_note01_metadata_integration_run,claim_boundary,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_dashboard,source_run_id,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_dashboard,lineage_edge_count,integer
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_dashboard,claim_boundary_count,integer
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_dashboard,physical_claim_status,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_dashboard,claim_boundary,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_search,lineage_note,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_search,claim_status,text
qsb_metadata,v_planck_bridge_lit_addendum_ashreurov_2014_metadata_search,physical_claim_release,text
qsb_metadata,v_planck_bridge_litnote01_metadata_dashboard,source_run_id,text
qsb_metadata,v_planck_bridge_litnote01_metadata_dashboard,lineage_edge_count,integer
qsb_metadata,v_planck_bridge_litnote01_metadata_dashboard,claim_boundary_count,integer
qsb_metadata,v_planck_bridge_litnote01_metadata_dashboard,physical_claim_status,text
qsb_metadata,v_planck_bridge_litnote01_metadata_dashboard,claim_boundary,text
qsb_metadata,v_planck_bridge_litnote01_metadata_search,lineage_note,text
qsb_metadata,v_planck_bridge_litnote01_metadata_search,claim_status,text
qsb_metadata,v_planck_bridge_litnote01_metadata_search,physical_claim_release,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_dashboard,source_run_id,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_dashboard,lineage_edge_count,bigint
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_dashboard,claim_boundary_count,bigint
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_dashboard,physical_claim_status,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_dashboard,claim_boundary,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_search,lineage_note,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_search,claim_status,text
qsb_metadata,v_planck_bridge_scale_mapping_note01_metadata_search,physical_claim_release,text
qsb_planck_bridge,pbr_admissibility_gate,claim_boundary,text
qsb_planck_bridge,pbr_claim_boundary,claim_text,text
qsb_planck_bridge,pbr_external_suggestion_triage,source_label,text
qsb_planck_bridge,pbr_field_registry,claim_boundary,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_claim_boundaries,claim_key,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_claim_boundaries,claim_text,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_claim_boundaries,physical_claim_release,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_decision_summary,physical_claim_release,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_input_lineage,lineage_commit_status,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_next_gate,execution_authorization,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_next_gate,physical_claim_release,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_blocke,claim_implication,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_claim_,claim_key,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_claim_,claim_text,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_claim_,physical_claim_release,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_deep_r,deep_research_cannot_replace_internal_lineage,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,source_run_id,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,source_status,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,source_execution_status,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,source_validation_pass_count,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,source_validation_fail_count,text
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_lineag,lineage_commit_status,text
