state,parameter_profile,n,median_profile_factor,median_gain_value,median_gain_vs_A,median_gain_vs_D,positive_direction_fraction,median_sign_stability,median_replicate_consistency,median_null_noise_margin,median_support_sep_baseline,median_support_sep_combined
A,base,5,1.0,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.029394,0.029394
A,mild_minus,5,0.95,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.029394,0.029394
A,mild_plus,5,1.05,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.029394,0.029394
B,base,5,1.0,0.341424,0.341424,0.347091,1.0,1.0,1.0,0.02,0.029394,0.370818
B,mild_minus,5,0.95,0.323923,0.323923,0.32959,1.0,1.0,1.0,0.02,0.029394,0.353317
B,mild_plus,5,1.05,0.358924,0.358924,0.364591,1.0,1.0,1.0,0.02,0.029394,0.388317
C,base,5,1.0,0.691423,0.691423,0.69709,1.0,1.0,1.0,0.02,0.029394,0.720817
C,mild_minus,5,0.95,0.656423,0.656423,0.66209,1.0,1.0,1.0,0.02,0.029394,0.685817
C,mild_plus,5,1.05,0.726423,0.726423,0.73209,1.0,1.0,1.0,0.02,0.029394,0.755818
D1,base,5,1.0,-0.005667,-0.005667,0.0,0.2,0.0,0.2,0.02,0.024663,0.018996
D1,mild_minus,5,0.95,-0.005667,-0.005667,0.0,0.2,0.0,0.2,0.02,0.024663,0.018996
D1,mild_plus,5,1.05,-0.005667,-0.005667,0.0,0.2,0.0,0.2,0.02,0.024663,0.018996
D2,base,5,1.0,0.00612,0.00612,0.011787,0.6,1.0,0.6,0.02,0.014697,0.018996
D2,mild_minus,5,0.95,0.00612,0.00612,0.011787,0.6,1.0,0.6,0.02,0.014697,0.018996
D2,mild_plus,5,1.05,0.00612,0.00612,0.011787,0.6,1.0,0.6,0.02,0.014697,0.018996
