run_id,seed,parameter_profile,state,null_variant,profile_factor,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260418_005135,101,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.029394,0.029394
H3SMD01_20260418_005135,101,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.341424,0.341424,0.347091,1.0,1.0,0.02,False,False,0.029394,0.370818
H3SMD01_20260418_005135,101,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.691423,0.691423,0.69709,1.0,1.0,0.02,False,False,0.029394,0.720817
H3SMD01_20260418_005135,101,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.005667,-0.005667,0.0,0.0,0.2,0.02,False,False,0.024663,0.018996
H3SMD01_20260418_005135,101,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.031216,-0.031216,-0.025549,0.0,0.6,0.02,False,False,0.029394,-0.001822
H3SMD01_20260418_005135,101,mild_plus,A,,1.05,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.029394,0.029394
H3SMD01_20260418_005135,101,mild_plus,B,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.358924,0.358924,0.364591,1.0,1.0,0.02,False,False,0.029394,0.388317
H3SMD01_20260418_005135,101,mild_plus,C,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.726423,0.726423,0.73209,1.0,1.0,0.02,False,False,0.029394,0.755818
H3SMD01_20260418_005135,101,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.005667,-0.005667,0.0,0.0,0.2,0.02,False,False,0.024663,0.018996
H3SMD01_20260418_005135,101,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.031216,-0.031216,-0.025549,0.0,0.6,0.02,False,False,0.029394,-0.001822
