case_id,graph_construction_method,graph_construction_parameters,graph_node_count,graph_edge_count,connected_component_count,largest_component_size,mean_degree,graph_density,isolated_node_count,component_size_profile
threshold_tau_025,threshold,{'tau': 0.25},22,130,1,22,11.818181818181818,0.5627705627705628,0,[22]
threshold_tau_03,threshold,{'tau': 0.3},22,81,1,22,7.363636363636363,0.35064935064935066,0,[22]
threshold_tau_035,threshold,{'tau': 0.35},22,57,3,12,5.181818181818182,0.24675324675324675,0,"[12, 8, 2]"
hybrid_k3_tau_025,hybrid_local,"{'k': 3, 'tau': 0.25}",22,43,1,22,3.909090909090909,0.18614718614718614,0,[22]
hybrid_k3_tau_03,hybrid_local,"{'k': 3, 'tau': 0.3}",22,43,1,22,3.909090909090909,0.18614718614718614,0,[22]
