control_id,original_system_id,control_family_id,node_count,edge_count,degree_distribution,component_score_topology,component_score_degree,component_score_bond_order,component_score_hybridization,component_score_sigma_pi,component_score_local_environment,combined_bonding_organization_score,likely_signal_source,mimic_risk_flag,interpretation_boundary
bond_order_shuffle_control__adamantane,adamantane,bond_order_shuffle_control,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,0.083333,1.0,1.0,0.0,0.695,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
bond_order_shuffle_control__benzene,benzene,bond_order_shuffle_control,6,6,"{""2"": 6}",1.0,1.0,0.0,1.0,1.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
bond_order_shuffle_control__c60,c60,bond_order_shuffle_control,60,90,"{""3"": 60}",1.0,1.0,0.855556,1.0,1.0,0.266667,0.871333,combined scaffold signal,False,below_threshold_low_contrast_boundary
bond_order_shuffle_control__ethyne,ethyne,bond_order_shuffle_control,2,1,"{""1"": 2}",1.0,1.0,0.0,1.0,1.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
carbon_skeleton_degree_control__adamantane,adamantane,carbon_skeleton_degree_control,10,12,"{""2"": 6, ""3"": 4}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
carbon_skeleton_degree_control__benzene,benzene,carbon_skeleton_degree_control,6,6,"{""2"": 6}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
carbon_skeleton_degree_control__c60,c60,carbon_skeleton_degree_control,60,90,"{""3"": 60}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
carbon_skeleton_degree_control__ethyne,ethyne,carbon_skeleton_degree_control,2,1,"{""1"": 2}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
cross_system_label_swap__adamantane,adamantane,cross_system_label_swap,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,0.0,0.0,0.0,0.0,0.32,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
cross_system_label_swap__benzene,benzene,cross_system_label_swap,6,6,"{""2"": 6}",1.0,1.0,0.0,1.0,0.0,0.0,0.5,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
cross_system_label_swap__c60,c60,cross_system_label_swap,60,90,"{""3"": 60}",1.0,1.0,0.0,0.0,0.0,0.0,0.32,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
