case,theta,kernel_mode,n_edges,n_components,graph_diameter,defined_pair_fraction,topology_label
k0,0.026,abs,6,1,2.0,1.0,cc1_e6_diam2.0
k0,0.026,positive,1,3,1.0,0.0,cc3_e1_diam1.0
k0,0.026,negative,6,1,3.0,1.0,cc1_e6_diam3.0
n1a_alpha_0p5,0.026,abs,6,1,2.0,1.0,cc1_e6_diam2.0
n1a_alpha_0p5,0.026,positive,3,2,2.0,0.0,cc2_e3_diam2.0
n1a_alpha_0p5,0.026,negative,6,1,3.0,1.0,cc1_e6_diam3.0
n1a_alpha_2p0,0.026,abs,3,2,1.0,0.0,cc2_e3_diam1.0
n1a_alpha_2p0,0.026,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_2p0,0.026,negative,3,2,2.0,0.0,cc2_e3_diam2.0
k0,0.03,abs,3,2,2.0,0.0,cc2_e3_diam2.0
k0,0.03,positive,1,3,1.0,0.0,cc3_e1_diam1.0
k0,0.03,negative,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_0p5,0.03,abs,6,1,2.0,1.0,cc1_e6_diam2.0
n1a_alpha_0p5,0.03,positive,3,2,2.0,0.0,cc2_e3_diam2.0
n1a_alpha_0p5,0.03,negative,6,1,3.0,1.0,cc1_e6_diam3.0
n1a_alpha_2p0,0.03,abs,3,2,1.0,0.0,cc2_e3_diam1.0
n1a_alpha_2p0,0.03,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_2p0,0.03,negative,3,2,2.0,0.0,cc2_e3_diam2.0
k0,0.035,abs,1,3,1.0,0.0,cc3_e1_diam1.0
k0,0.035,positive,0,4,,0.0,cc4_e0_diamNone
k0,0.035,negative,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_0p5,0.035,abs,6,1,3.0,1.0,cc1_e6_diam3.0
n1a_alpha_0p5,0.035,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_0p5,0.035,negative,3,2,2.0,0.0,cc2_e3_diam2.0
n1a_alpha_2p0,0.035,abs,3,2,1.0,0.0,cc2_e3_diam1.0
n1a_alpha_2p0,0.035,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_2p0,0.035,negative,3,2,2.0,0.0,cc2_e3_diam2.0
k0,0.04,abs,1,3,1.0,0.0,cc3_e1_diam1.0
k0,0.04,positive,0,4,,0.0,cc4_e0_diamNone
k0,0.04,negative,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_0p5,0.04,abs,6,1,3.0,1.0,cc1_e6_diam3.0
n1a_alpha_0p5,0.04,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_0p5,0.04,negative,3,2,2.0,0.0,cc2_e3_diam2.0
n1a_alpha_2p0,0.04,abs,3,2,2.0,0.0,cc2_e3_diam2.0
n1a_alpha_2p0,0.04,positive,1,3,1.0,0.0,cc3_e1_diam1.0
n1a_alpha_2p0,0.04,negative,1,3,1.0,0.0,cc3_e1_diam1.0
