family_id,family_role,measure_level,strength,rank_score,dominant_flag
F1,control,pair,0.2698412698412698,0.2698412698412698,0
F1,control,delta_p,0.3238095238095238,0.3238095238095238,0
F1,control,delta_p2,0.4642857142857143,0.4642857142857143,1
F2,compact_negative,pair,0.25,0.25,0
F2,compact_negative,delta_p,0.3,0.3,0
F2,compact_negative,delta_p2,0.4276785714285714,0.4276785714285714,1
F3,large_negative,pair,0.38095238095238093,0.38095238095238093,0
F3,large_negative,delta_p,0.44761904761904764,0.44761904761904764,0
F3,large_negative,delta_p2,0.6357142857142857,0.6357142857142857,1
F4,large_negative_distorted,pair,0.27936507936507937,0.27936507936507937,0
F4,large_negative_distorted,delta_p,0.3352380952380952,0.3352380952380952,0
F4,large_negative_distorted,delta_p2,0.4945178571428571,0.4945178571428571,1
F5,falsification_candidate,pair,0.22698412698412698,0.22698412698412698,0
F5,falsification_candidate,delta_p,0.2723809523809524,0.2723809523809524,0
F5,falsification_candidate,delta_p2,0.3525714285714286,0.3525714285714286,1
