family_id,family_role,pair_i,pair_j,p_i,p_j,delta_p,delta_p_abs,delta_p2,delta_p2_abs,sum_p,mean_p,delta_p2_bucket,branch_identity,identity_strength,branch_match_frac,sigma_light_score
F2,compact_negative,4,5,1.0,2.5,-1.5,1.5,-5.25,5.25,3.5,1.75,compact_negative,compact_negative,0.2625,0.48124999999999996,0.2625
F2,compact_negative,4,6,1.0,4.0,-3.0,3.0,-15.0,15.0,5.0,2.5,large_negative,large_negative,0.75,0.725,0.75
F2,compact_negative,5,6,2.5,4.0,-1.5,1.5,-9.75,9.75,6.5,3.25,compact_negative,compact_negative,0.4875,0.59375,0.4875
F3,large_negative,0,1,-5.0,-2.0,-3.0,3.0,21.0,21.0,-7.0,-3.5,positive,positive,1.0,0.85,1.0
F3,large_negative,0,2,-5.0,-1.0,-4.0,4.0,24.0,24.0,-6.0,-3.0,positive,positive,1.0,0.85,1.0
F3,large_negative,0,3,-5.0,0.0,-5.0,5.0,25.0,25.0,-5.0,-2.5,positive,positive,1.0,0.85,1.0
F3,large_negative,0,4,-5.0,1.0,-6.0,6.0,24.0,24.0,-4.0,-2.0,positive,positive,1.0,0.85,1.0
F3,large_negative,0,5,-5.0,3.0,-8.0,8.0,16.0,16.0,-2.0,-1.0,positive,positive,0.8,0.75,0.8
F3,large_negative,0,6,-5.0,7.0,-12.0,12.0,-24.0,24.0,2.0,1.0,large_negative,large_negative,1.0,0.85,1.0
F3,large_negative,1,2,-2.0,-1.0,-1.0,1.0,3.0,3.0,-3.0,-1.5,positive,positive,0.15,0.425,0.15
F3,large_negative,1,3,-2.0,0.0,-2.0,2.0,4.0,4.0,-2.0,-1.0,positive,positive,0.2,0.44999999999999996,0.2
F3,large_negative,1,4,-2.0,1.0,-3.0,3.0,3.0,3.0,-1.0,-0.5,positive,positive,0.15,0.425,0.15
F3,large_negative,1,5,-2.0,3.0,-5.0,5.0,-5.0,5.0,1.0,0.5,compact_negative,compact_negative,0.25,0.475,0.25
F3,large_negative,1,6,-2.0,7.0,-9.0,9.0,-45.0,45.0,5.0,2.5,large_negative,large_negative,1.0,0.85,1.0
F3,large_negative,2,3,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-0.5,positive,positive,0.05,0.375,0.05
F3,large_negative,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F3,large_negative,2,5,-1.0,3.0,-4.0,4.0,-8.0,8.0,2.0,1.0,compact_negative,compact_negative,0.4,0.55,0.4
F3,large_negative,2,6,-1.0,7.0,-8.0,8.0,-48.0,48.0,6.0,3.0,large_negative,large_negative,1.0,0.85,1.0
F3,large_negative,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.5,compact_negative,compact_negative,0.05,0.375,0.05
F3,large_negative,3,5,0.0,3.0,-3.0,3.0,-9.0,9.0,3.0,1.5,compact_negative,compact_negative,0.45,0.575,0.45
F3,large_negative,3,6,0.0,7.0,-7.0,7.0,-49.0,49.0,7.0,3.5,large_negative,large_negative,1.0,0.85,1.0
F3,large_negative,4,5,1.0,3.0,-2.0,2.0,-8.0,8.0,4.0,2.0,compact_negative,compact_negative,0.4,0.55,0.4
F3,large_negative,4,6,1.0,7.0,-6.0,6.0,-48.0,48.0,8.0,4.0,large_negative,large_negative,1.0,0.85,1.0
F3,large_negative,5,6,3.0,7.0,-4.0,4.0,-40.0,40.0,10.0,5.0,large_negative,large_negative,1.0,0.85,1.0
F4,large_negative_distorted,0,1,-3.0,-2.2,-0.7999999999999998,0.7999999999999998,4.159999999999999,4.159999999999999,-5.2,-2.6,positive,positive,0.20799999999999996,0.45399999999999996,0.20799999999999996
F4,large_negative_distorted,0,2,-3.0,-0.6,-2.4,2.4,8.64,8.64,-3.6,-1.8,positive,positive,0.43200000000000005,0.5660000000000001,0.43200000000000005
F4,large_negative_distorted,0,3,-3.0,0.0,-3.0,3.0,9.0,9.0,-3.0,-1.5,positive,positive,0.45,0.575,0.45
F4,large_negative_distorted,0,4,-3.0,1.4,-4.4,4.4,7.04,7.04,-1.6,-0.8,positive,positive,0.352,0.526,0.352
F4,large_negative_distorted,0,5,-3.0,2.1,-5.1,5.1,4.59,4.59,-0.8999999999999999,-0.44999999999999996,positive,positive,0.22949999999999998,0.46475,0.22949999999999998
F4,large_negative_distorted,0,6,-3.0,5.2,-8.2,8.2,-18.040000000000003,18.040000000000003,2.2,1.1,large_negative,large_negative,0.9020000000000001,0.801,0.9020000000000001
F4,large_negative_distorted,1,2,-2.2,-0.6,-1.6,1.6,4.48,4.48,-2.8000000000000003,-1.4000000000000001,positive,positive,0.22400000000000003,0.46199999999999997,0.22400000000000003
F4,large_negative_distorted,1,3,-2.2,0.0,-2.2,2.2,4.840000000000001,4.840000000000001,-2.2,-1.1,positive,positive,0.24200000000000005,0.471,0.24200000000000005
F4,large_negative_distorted,1,4,-2.2,1.4,-3.6,3.6,2.880000000000001,2.880000000000001,-0.8000000000000003,-0.40000000000000013,positive,positive,0.14400000000000004,0.422,0.14400000000000004
F4,large_negative_distorted,1,5,-2.2,2.1,-4.300000000000001,4.300000000000001,0.4300000000000006,0.4300000000000006,-0.10000000000000009,-0.050000000000000044,positive,positive,0.02150000000000003,0.36075,0.02150000000000003
F4,large_negative_distorted,1,6,-2.2,5.2,-7.4,7.4,-22.200000000000003,22.200000000000003,3.0,1.5,large_negative,large_negative,1.0,0.85,1.0
F4,large_negative_distorted,2,3,-0.6,0.0,-0.6,0.6,0.36,0.36,-0.6,-0.3,positive,positive,0.018,0.359,0.018
F4,large_negative_distorted,2,4,-0.6,1.4,-2.0,2.0,-1.5999999999999996,1.5999999999999996,0.7999999999999999,0.39999999999999997,compact_negative,compact_negative,0.07999999999999999,0.38999999999999996,0.07999999999999999
F4,large_negative_distorted,2,5,-0.6,2.1,-2.7,2.7,-4.05,4.05,1.5,0.75,compact_negative,compact_negative,0.20249999999999999,0.45125,0.20249999999999999
F4,large_negative_distorted,2,6,-0.6,5.2,-5.8,5.8,-26.680000000000003,26.680000000000003,4.6000000000000005,2.3000000000000003,large_negative,large_negative,1.0,0.85,1.0
F4,large_negative_distorted,3,4,0.0,1.4,-1.4,1.4,-1.9599999999999997,1.9599999999999997,1.4,0.7,compact_negative,compact_negative,0.09799999999999999,0.39899999999999997,0.09799999999999999
F4,large_negative_distorted,3,5,0.0,2.1,-2.1,2.1,-4.41,4.41,2.1,1.05,compact_negative,compact_negative,0.2205,0.46025,0.2205
F4,large_negative_distorted,3,6,0.0,5.2,-5.2,5.2,-27.040000000000003,27.040000000000003,5.2,2.6,large_negative,large_negative,1.0,0.85,1.0
F4,large_negative_distorted,4,5,1.4,2.1,-0.7000000000000002,0.7000000000000002,-2.45,2.45,3.5,1.75,compact_negative,compact_negative,0.12250000000000001,0.41125,0.12250000000000001
F4,large_negative_distorted,4,6,1.4,5.2,-3.8000000000000003,3.8000000000000003,-25.080000000000002,25.080000000000002,6.6,3.3,large_negative,large_negative,1.0,0.85,1.0
F4,large_negative_distorted,5,6,2.1,5.2,-3.1,3.1,-22.630000000000003,22.630000000000003,7.300000000000001,3.6500000000000004,large_negative,large_negative,1.0,0.85,1.0
F5,falsification_candidate,0,1,-3.0,-2.0,-1.0,1.0,5.0,5.0,-5.0,-2.5,positive,positive,0.25,0.475,0.25
F5,falsification_candidate,0,2,-3.0,-1.0,-2.0,2.0,8.0,8.0,-4.0,-2.0,positive,positive,0.4,0.55,0.4
F5,falsification_candidate,0,3,-3.0,0.0,-3.0,3.0,9.0,9.0,-3.0,-1.5,positive,positive,0.45,0.575,0.45
F5,falsification_candidate,0,4,-3.0,1.0,-4.0,4.0,8.0,8.0,-2.0,-1.0,positive,positive,0.4,0.55,0.4
F5,falsification_candidate,0,5,-3.0,2.0,-5.0,5.0,5.0,5.0,-1.0,-0.5,positive,positive,0.25,0.475,0.25
F5,falsification_candidate,0,6,-3.0,3.2,-6.2,6.2,-1.240000000000002,1.240000000000002,0.20000000000000018,0.10000000000000009,compact_negative,compact_negative,0.0620000000000001,0.381,0.0620000000000001
F5,falsification_candidate,1,2,-2.0,-1.0,-1.0,1.0,3.0,3.0,-3.0,-1.5,positive,positive,0.15,0.425,0.15
F5,falsification_candidate,1,3,-2.0,0.0,-2.0,2.0,4.0,4.0,-2.0,-1.0,positive,positive,0.2,0.44999999999999996,0.2
F5,falsification_candidate,1,4,-2.0,1.0,-3.0,3.0,3.0,3.0,-1.0,-0.5,positive,positive,0.15,0.425,0.15
F5,falsification_candidate,1,5,-2.0,2.0,-4.0,4.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F5,falsification_candidate,1,6,-2.0,3.2,-5.2,5.2,-6.240000000000002,6.240000000000002,1.2000000000000002,0.6000000000000001,compact_negative,compact_negative,0.3120000000000001,0.506,0.3120000000000001
F5,falsification_candidate,2,3,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-0.5,positive,positive,0.05,0.375,0.05
F5,falsification_candidate,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F5,falsification_candidate,2,5,-1.0,2.0,-3.0,3.0,-3.0,3.0,1.0,0.5,compact_negative,compact_negative,0.15,0.425,0.15
F5,falsification_candidate,2,6,-1.0,3.2,-4.2,4.2,-9.240000000000002,9.240000000000002,2.2,1.1,compact_negative,compact_negative,0.4620000000000001,0.581,0.4620000000000001
F5,falsification_candidate,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.5,compact_negative,compact_negative,0.05,0.375,0.05
F5,falsification_candidate,3,5,0.0,2.0,-2.0,2.0,-4.0,4.0,2.0,1.0,compact_negative,compact_negative,0.2,0.44999999999999996,0.2
F5,falsification_candidate,3,6,0.0,3.2,-3.2,3.2,-10.240000000000002,10.240000000000002,3.2,1.6,large_negative,large_negative,0.5120000000000001,0.6060000000000001,0.5120000000000001
F5,falsification_candidate,4,5,1.0,2.0,-1.0,1.0,-3.0,3.0,3.0,1.5,compact_negative,compact_negative,0.15,0.425,0.15
F5,falsification_candidate,4,6,1.0,3.2,-2.2,2.2,-9.240000000000002,9.240000000000002,4.2,2.1,compact_negative,compact_negative,0.4620000000000001,0.581,0.4620000000000001
F5,falsification_candidate,5,6,2.0,3.2,-1.2000000000000002,1.2000000000000002,-6.240000000000002,6.240000000000002,5.2,2.6,compact_negative,compact_negative,0.3120000000000001,0.506,0.3120000000000001
