comparison_basis,candidate_edge_count,same_class_edge_count,cross_class_edge_count,same_class_fraction,interpretation
original_abs_delta_alignment,161,161,0,1,candidate edges align with original pair-id absolute-delta classes
permuted_abs_delta_alignment,161,53,108,0.32919254658385094,candidate edges do not fully align with permuted pair-id absolute-delta classes
