domain_guess,row_json,notes
matrix_topology,,"ERROR:  column ""matrix_topology"" does not exist
LINE 2:             SELECT ""matrix_topology"" AS domain_guess, to_jso...
                           ^"
extract03,,"ERROR:  column ""extract03"" does not exist
LINE 2:             SELECT ""extract03"" AS domain_guess, to_jsonb(a):...
                           ^"
interface01,,"ERROR:  column ""interface01"" does not exist
LINE 2:             SELECT ""interface01"" AS domain_guess, to_jsonb(a...
                           ^"
relalg,,"ERROR:  column ""relalg"" does not exist
LINE 2:             SELECT ""relalg"" AS domain_guess, to_jsonb(a)::te...
                           ^"
causality,,"ERROR:  column ""causality"" does not exist
LINE 2:             SELECT ""causality"" AS domain_guess, to_jsonb(a):...
                           ^"
sparc_rar,,"ERROR:  column ""sparc_rar"" does not exist
LINE 2:             SELECT ""sparc_rar"" AS domain_guess, to_jsonb(a):...
                           ^"
metadata,,"ERROR:  column ""metadata"" does not exist
LINE 2:             SELECT ""metadata"" AS domain_guess, to_jsonb(a)::...
                           ^"
