run_id,key,value,expected_value,match,notes
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,status,"""qsb_dwh_postgres_legacy_artifact_staging_patch_completed""","""qsb_dwh_postgres_legacy_artifact_staging_patch_completed""",True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,postgres_connection_ok,true,true,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,previous_status,"""qsb_dwh_postgres_legacy_migration_metadata_server_completed""","""qsb_dwh_postgres_legacy_migration_metadata_server_completed""",True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,total_files_inventoried,9324,9324,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,artifacts_registered_before,17,17,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,artifacts_registered_after,9341,9341,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,artifacts_registered_delta,9324,9324,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,checksums_computed,9324,9324,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,raw_checksums_registered_after,9328,9328,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,generic_csv_files_loaded,388,388,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,generic_csv_rows_loaded,100000,100000,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,json_documents_loaded,1945,1945,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,json_key_values_loaded,50100,50100,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,markdown_documents_loaded,2105,2105,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,sqlite_catalogs_discovered,97,97,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,sqlite_catalogs_imported,97,97,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,global_search_rows_before,29,29,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,global_search_rows_after,107360,107360,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,global_search_rows_delta,107331,107331,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,views_verified,14,14,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,metadata_server_check_status,"""ready_for_read_only_psql_cli_server""","""ready_for_read_only_psql_cli_server""",True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,residual_analysis_executed,false,false,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,rbci_v1_evaluated,false,false,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,qsb_observable_evaluated,false,false,True,
QSB-DWH-POSTGRES-LEGACY-MIGRATION-METADATA-SERVER-01,status,"""qsb_dwh_postgres_legacy_migration_metadata_server_completed""","""qsb_dwh_postgres_legacy_migration_metadata_server_completed""",True,secondary predecessor summary
