section,field_1,field_2,field_3,field_4,notes
domain_by_kind_counts,unknown,markdown_note,1010,,domain_guess=unknown; artifact_kind=markdown_note; n=1010
domain_by_kind_counts,unknown,json_document,573,,domain_guess=unknown; artifact_kind=json_document; n=573
domain_by_kind_counts,unknown,other,412,,domain_guess=unknown; artifact_kind=other; n=412
domain_by_kind_counts,unknown,run_audit,309,,domain_guess=unknown; artifact_kind=run_audit; n=309
domain_by_kind_counts,unknown,text_note,299,,domain_guess=unknown; artifact_kind=text_note; n=299
domain_by_kind_counts,unknown,python_script,269,,domain_guess=unknown; artifact_kind=python_script; n=269
domain_by_kind_counts,unknown,summary_json,191,,domain_guess=unknown; artifact_kind=summary_json; n=191
domain_by_kind_counts,unknown,sql_script,36,,domain_guess=unknown; artifact_kind=sql_script; n=36
domain_by_kind_counts,unknown,sqlite_db,23,,domain_guess=unknown; artifact_kind=sqlite_db; n=23
domain_by_kind_counts,unknown,raw_input,2,,domain_guess=unknown; artifact_kind=raw_input; n=2
domain_by_kind_counts,,,17,,domain_guess=; artifact_kind=; n=17
domain_path_samples,causality,data/baseline_relational_table_real_bmc08b.csv,,,domain_guess=causality; relative_path=data/baseline_relational_table_real_bmc08b.csv
domain_path_samples,causality,data/baseline_relational_table_real_bmc08c.csv,,,domain_guess=causality; relative_path=data/baseline_relational_table_real_bmc08c.csv
domain_path_samples,causality,data/bmc01/bmc01_baseline_relational_table_template.csv,,,domain_guess=causality; relative_path=data/bmc01/bmc01_baseline_relational_table_template.csv
domain_path_samples,causality,data/bmc04/bmc04_baseline_relational_table_template.csv,,,domain_guess=causality; relative_path=data/bmc04/bmc04_baseline_relational_table_template.csv
domain_path_samples,causality,data/bmc07c_backbone_variation_config.yaml,,,domain_guess=causality; relative_path=data/bmc07c_backbone_variation_config.yaml
domain_path_samples,causality,data/bmc07_config_coupling_arm.yaml,,,domain_guess=causality; relative_path=data/bmc07_config_coupling_arm.yaml
domain_path_samples,causality,data/bmc07_config_minimal_readouts.yaml,,,domain_guess=causality; relative_path=data/bmc07_config_minimal_readouts.yaml
domain_path_samples,causality,data/bmc08a_m39x1_featuretable_config.template.yaml,,,domain_guess=causality; relative_path=data/bmc08a_m39x1_featuretable_config.template.yaml
domain_path_samples,causality,data/bmc08a_m39x1_featuretable_config.yaml,,,domain_guess=causality; relative_path=data/bmc08a_m39x1_featuretable_config.yaml
domain_path_samples,causality,data/bmc08a_real_units_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc08a_real_units_feature_table.csv
domain_path_samples,causality,data/bmc08a_real_units_feature_table.template.csv,,,domain_guess=causality; relative_path=data/bmc08a_real_units_feature_table.template.csv
domain_path_samples,causality,data/bmc08b_m39x1_no_ring_mirror_config.yaml,,,domain_guess=causality; relative_path=data/bmc08b_m39x1_no_ring_mirror_config.yaml
domain_path_samples,causality,data/bmc08b_realdata_config.yaml,,,domain_guess=causality; relative_path=data/bmc08b_realdata_config.yaml
