run_id,species,mass_kg,velocity_model,velocity,momentum,lambda_db,k,frequency_mode,frequency,number_density,length_scale_score,energy_score,occupancy_score,signature_score,tau,tau_alignment_score,tau_response_score,tau_window_label,mass_only_rank,matter_sensitive_rank,matter_sensitive_delta,response_label
debroglie_matter_signature_run_b,hydrogen,1.673557692882144e-27,mean,2481.6258452361603,4.1531440241501294e-24,1.5954347143922881e-10,39382277761.03577,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.001,0.0,0.0,off_window,6,1,-5.0,mass_like
debroglie_matter_signature_run_b,hydrogen,1.673557692882144e-27,mean,2481.6258452361603,4.1531440241501294e-24,1.5954347143922881e-10,39382277761.03577,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.01,0.0,0.0,off_window,6,1,-5.0,mass_like
debroglie_matter_signature_run_b,hydrogen,1.673557692882144e-27,mean,2481.6258452361603,4.1531440241501294e-24,1.5954347143922881e-10,39382277761.03577,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.1,0.0,0.0,off_window,6,1,-5.0,mass_like
debroglie_matter_signature_run_b,hydrogen,1.673557692882144e-27,mean,2481.6258452361603,4.1531440241501294e-24,1.5954347143922881e-10,39382277761.03577,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,1.0,0.0,0.0,off_window,6,1,-5.0,mass_like
debroglie_matter_signature_run_b,sodium,3.8175410021560553e-26,mean,519.594795834991,1.9835744376069826e-23,3.3404696210916095e-11,188092873753.6714,kinetic_energy_based,7777271682913.795,2.502858308970984e+25,0.0961211257906228,0.5,0.5,0.3653737085968743,0.001,0.0,0.0,off_window,3,4,1.0,mass_like
debroglie_matter_signature_run_b,sodium,3.8175410021560553e-26,mean,519.594795834991,1.9835744376069826e-23,3.3404696210916095e-11,188092873753.6714,kinetic_energy_based,7777271682913.795,2.502858308970984e+25,0.0961211257906228,0.5,0.5,0.3653737085968743,0.01,0.0,0.0,off_window,3,4,1.0,mass_like
debroglie_matter_signature_run_b,sodium,3.8175410021560553e-26,mean,519.594795834991,1.9835744376069826e-23,3.3404696210916095e-11,188092873753.6714,kinetic_energy_based,7777271682913.795,2.502858308970984e+25,0.0961211257906228,0.5,0.5,0.3653737085968743,0.1,0.0,0.0,off_window,3,4,1.0,mass_like
debroglie_matter_signature_run_b,sodium,3.8175410021560553e-26,mean,519.594795834991,1.9835744376069826e-23,3.3404696210916095e-11,188092873753.6714,kinetic_energy_based,7777271682913.795,2.502858308970984e+25,0.0961211257906228,0.5,0.5,0.3653737085968743,1.0,0.0,0.0,off_window,3,4,1.0,mass_like
debroglie_matter_signature_run_b,carbon,1.99447347289326e-26,mean,718.8570155832415,1.433741248383992e-23,4.621524391146883e-11,135954823027.99973,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,0.001,0.0,0.0,off_window,5,2,-3.0,mass_like
debroglie_matter_signature_run_b,carbon,1.99447347289326e-26,mean,718.8570155832415,1.433741248383992e-23,4.621524391146883e-11,135954823027.99973,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,0.01,0.0,0.0,off_window,5,2,-3.0,mass_like
debroglie_matter_signature_run_b,carbon,1.99447347289326e-26,mean,718.8570155832415,1.433741248383992e-23,4.621524391146883e-11,135954823027.99973,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,0.1,0.0,0.0,off_window,5,2,-3.0,mass_like
debroglie_matter_signature_run_b,carbon,1.99447347289326e-26,mean,718.8570155832415,1.433741248383992e-23,4.621524391146883e-11,135954823027.99973,kinetic_energy_based,7777271682913.796,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,1.0,0.0,0.0,off_window,5,2,-3.0,mass_like
