run_folder,file_count,domain_guess
BMC-12e,305,causality
BMC-12c,64,causality
M33_V0_alpha_peak_robustness,163,interface01
M39x1_ring_dispersion_irregularity,11,interface01
M39x2_prediction_matrix,9,interface01
M39x3_prediction_matrix_hardening,10,interface01
M39x3a_type_b_sharpening,11,interface01
M39x3b_finite_square_well_sweep,11,interface01
M39x3c_ao_model_transfer,11,interface01
M39x3d_transition_mapping,11,interface01
M39x3e_model_overlap_test,6,interface01
M39x3ea_feature_distance_diagnosis,9,interface01
M39x3f_type_b_map,9,interface01
M39x_external_reference_audit,6,interface01
H3_D1_D2_DIVERGENCE_01,16,unknown
H3_MIXED_LIKE_SENSITIVITY_01,8,unknown
H3_PRECHECK_01,3,unknown
H3_READINESS_UPLIFT_01,3,unknown
H3_SUPPORT_MANIPULATION_DESIGN_01,69,unknown
H3_SUPPORT_PROBE_01,3,unknown
H3_SUPPORT_SIDE_BY_SIDE_PROBE_01,3,unknown
M39x3g_a_typeB_exclusion,6,unknown
M39x3g_c_holdout,2,unknown
BMC-01-SX,123,causality
BMC-01,286,causality
BMC-04,100,causality
BMC-07,32,causality
BMC-08,36,causality
BMC-09,150,causality
BMC-10,110,causality
BMC-11,110,causality
BMC-12,4,causality
BMC-12b,4,causality
BMC-12f,5,causality
BMC-13,8,causality
BMC-14,5,causality
BMC-14d,5,causality
BMC-14e,6,causality
BMC-15,15,causality
BMC-15b,11,causality
BMC-15e,8,causality
BMC-15e2,2,causality
BMC-15f,7,causality
BMC-15f1,9,causality
BMC-15f2,9,causality
BMC-15g,6,causality
BMC-15h,7,causality
BMS-FU01,11,unknown
BMS-FU01b,13,unknown
BMS-FU01c,15,unknown
BMS-FU02,11,unknown
BMS-FU02b,11,unknown
BMS-FU02c,8,unknown
BMS-FU02d,9,unknown
BMS-FU02d1,9,unknown
BMS-FU02e,8,unknown
BMS-FU02e1,7,unknown
BMS-FU02f,10,unknown
BMS-FU02f1,9,unknown
BMS-FU02g2,6,unknown
BMS-FU02g3,7,unknown
BMS-FU02g4,7,unknown
BMS-FU02g4b,8,unknown
BMS-FU02g4c-full-replay,8,unknown
BMS-FU02g4c,258,unknown
BMS-FU02g4d,6,unknown
BMS-FU02g5,20,unknown
BMS-FU02g5b,12,unknown
BMS-FU02g5d,4,unknown
BMS-FU02g5e1,3,unknown
BMS-FU02g5e2,5,unknown
BMS-FU02g5f,7,unknown
BMS-FU02g5g,5,unknown
BMS-FU02g5g2,6,unknown
BMS-IS01,11,unknown
BMS-IS01b,11,unknown
BMS-ST01,11,unknown
FU02g4c_stage3_execution_path_2026-05-10-qsb_dry_run,3,unknown
FU02g4c_stage3_execution_path_2026-05-10-qsb_negative_gate,3,unknown
OUTREACH01A-04,8,unknown
OUTREACH01A-05,8,unknown
OUTREACH01A-06,7,unknown
OUTREACH01A-07,6,unknown
OUTREACH01A-DTC-DEMO01,6,unknown
QSB-ARTIFACT01-DWH-A,7,unknown
QSB-ARTIFACT01-DWH-B,8,unknown
QSB-ARTIFACT01-DWH-B1,7,unknown
QSB-BRIDGE-DATA-01,7,unknown
QSB-BRIDGE-DATA-02A,7,unknown
QSB-BRIDGE-DATA-02B,8,unknown
QSB-BRIDGE-DATA-02C,7,unknown
QSB-BRIDGE-DATA-02D,9,unknown
QSB-BRIDGE-DATA-02E,9,unknown
QSB-BRIDGE-NUM-04A,5,unknown
QSB-BRIDGE-NUM-05A,7,unknown
QSB-BRIDGE-NUM-05B,7,unknown
QSB-BRIDGE-NUM-05C,7,unknown
QSB-CAUSALITY,56,causality
QSB-CAUSALITY06B-04,8,causality
QSB-CAUSALITY06B-05,8,causality
QSB-CAUSALITY06B-06,8,causality
QSB-CAUSALITY07-02,10,causality
QSB-CAUSALITY07-03,10,causality
QSB-CAUSALITY07-04,10,causality
QSB-CAUSALITY07-04A,10,causality
QSB-CAUSALITY07-04B,10,causality
QSB-CAUSALITY07-04C,10,causality
QSB-CORRCORE01,18,unknown
QSB-D03,10,unknown
QSB-D04,10,unknown
QSB-D05,11,unknown
QSB-D06,13,unknown
QSB-D07,15,unknown
QSB-D08,13,unknown
QSB-D09,13,unknown
QSB-D0X,12,unknown
QSB-DB,235,unknown
QSB-DWH-POSTGRES-CORE-MIGRATION-01,37,unknown
QSB-DWH-POSTGRES-LEGACY-MIGRATION-ARTIFACT-STAGING-PATCH-01,62,unknown
QSB-DWH-POSTGRES-LEGACY-MIGRATION-METADATA-SERVER-01,40,metadata
QSB-EXTRACT01,20,unknown
QSB-EXTRACT01A,19,metadata
QSB-EXTRACT02,21,unknown
QSB-EXTRACT02A-R1,38,unknown
QSB-EXTRACT02A-R1F,20,unknown
QSB-EXTRACT02A,20,unknown
QSB-EXTRACT03-C0,22,extract03
QSB-EXTRACT03-C0B,23,extract03
QSB-EXTRACT03-C1-R1,33,extract03
QSB-EXTRACT03-S1,18,extract03
QSB-EXTRACT03-VIZ01,32,extract03
QSB-EXTRACT03-VIZ02,28,extract03
QSB-EXTRACT03,26,extract03
QSB-EXTRACT03A-R1,33,extract03
QSB-EXTRACT03B,24,extract03
QSB-EXTRACT03D,27,extract03
QSB-EXTRACT03E,30,extract03
QSB-EXTRACT03F,28,extract03
QSB-EXTRACT03G,27,extract03
QSB-EXTRACT03H-AUTH01,18,extract03
QSB-EXTRACT03H-R1,38,extract03
QSB-EXTRACT03H,34,extract03
QSB-EXTRACT03I,34,extract03
QSB-EXTRACT03J,36,extract03
QSB-EXTRACT03K-R1,44,extract03
QSB-EXTRACT03K-R2,30,extract03
