table_name,row_count,status
admin.dataset_registry,6,verified
admin.etl_run,2,verified
admin.etl_step,2,verified
admin.migration_log,0,verified
admin.qsb_connection_test,1,verified
admin.schema_version,0,verified
admin.single_dwh_policy,1,verified
canonical.causality_artifact,0,verified
canonical.causality_transition,0,verified
canonical.interface01_artifact,0,verified
canonical.interface01_feature,0,verified
canonical.matrix_topology_component,0,verified
canonical.matrix_topology_edge,0,verified
canonical.matrix_topology_metric,0,verified
canonical.obs_artifact,17,verified
canonical.obs_baseline_quantity,6085,verified
canonical.obs_dataset,1,verified
canonical.obs_galaxy,175,verified
canonical.obs_massmodel_point,3392,verified
canonical.obs_measurement,0,verified
canonical.obs_quantity_definition,29,verified
canonical.obs_rar_point,2693,verified
canonical.obs_source_file,4,verified
canonical.qsb_artifact,9324,verified
canonical.qsb_claim_boundary_event,15,verified
canonical.qsb_run,278,verified
canonical.qsb_run_summary,0,verified
canonical.qsb_validation_event,0,verified
canonical.relalg_artifact,0,verified
canonical.relalg_metric,0,verified
metadata.meta_alias,62,verified
metadata.meta_claim,16,verified
metadata.meta_dataset,6,verified
metadata.meta_field,29,verified
metadata.meta_lineage,21,verified
metadata.meta_search_token,97974,verified
metadata.meta_unit,7,verified
metadata.meta_view,0,verified
raw.git_commit_reference,0,verified
raw.raw_checksum,9328,verified
raw.raw_claim_boundary,16,verified
raw.run_folder,278,verified
raw.source_artifact,9341,verified
raw.source_file,9328,verified
server.metadata_server_config,1,verified
server.metadata_server_endpoint,7,verified
staging.artifact_column_profile,33875,verified
staging.causality_summary,0,verified
staging.csv_row_json,100000,verified
staging.interface01_summary,0,verified
staging.json_document,1945,verified
staging.json_key_value,50100,verified
staging.markdown_document,2105,verified
staging.matrix_topology_edge_candidate,0,verified
staging.matrix_topology_summary,0,verified
staging.relalg_summary,0,verified
staging.sparc_artifact_registry,17,verified
staging.sparc_massmodels_baseline,3392,verified
staging.sparc_rar_direct,2693,verified
staging.sparc_source_file_registry,4,verified
staging.sqlite_row_count,2570,verified
staging.sqlite_table_inventory,2570,verified
validation.claim_boundary,31,verified
validation.data_quality_flag,0,verified
validation.ingest_warning,3441,verified
validation.no_go_boundary,11,verified
validation.validation_result,12,verified
