family_id,variant_id,spectral_type,spacing_mean,spacing_std,spacing_cv,spacing_ratio_mean,simple_unfolding_density,simple_rigidity_surrogate,grid_deviation_score,second_difference_curvature
ER1_RING,RING_SIGNED,type_A_ladder,1.2,0.4,0.33333333333333337,0.75,7.199999999999999,0.16,0.20000000000000007,0.5
ER1_RING,RING_ABS,type_A_ladder,0.4,0.48989794855663565,1.2247448713915892,0.0,7.199999999999999,0.24000000000000005,0.19999999999999998,1.0
ER1_RING,RING_DEGEN_SAFE,type_A_ladder,1.2,0.4,0.33333333333333337,0.75,7.199999999999999,0.16,0.20000000000000007,0.5
ER2_CAVITY,CAVITY_STANDARD,type_C_multiindex_structure,0.5842053096316764,0.13758452075231867,0.23550713847339305,0.7924491734087854,9.142857142857142,0.018929500350645206,0.1912257732533279,0.1357485719625339
ER3_MEMBRANE,MEMBRANE_STANDARD,type_C_multiindex_structure,0.892700336457143,0.4582063705162735,0.5132812790625303,0.5027529366967777,9.142857142857142,0.20995307798169652,0.39059233448749975,0.6123529974666656
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,1.0,0.0,0.0,1.0,7.199999999999999,0.0,0.0,0.0
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,0.958,0.025612496949731355,0.026735383037297868,0.9818452243889173,7.199999999999999,0.000655999999999998,0.0300000000000001,0.017500000000000016
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,0.938,0.039698866482558395,0.04232288537586183,0.9708126470527347,7.199999999999999,0.0015759999999999986,0.045000000000000116,0.02749999999999997
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,0.898,0.04791659420284369,0.05335923630606202,0.9640328705674114,7.199999999999999,0.002295999999999994,0.05499999999999994,0.03249999999999992
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,0.8019999999999999,0.1147867588182539,0.14312563443672557,0.9020564802708817,7.199999999999999,0.013175999999999988,0.13333333333333341,0.07999999999999996
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D05,type_B_quadratic_nontrivial,0.7,0.20039960079800564,0.28628514399715094,0.805376612541187,7.199999999999999,0.04016000000000002,0.23000000000000007,0.13749999999999998
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D06,type_B_quadratic_nontrivial,0.6779999999999999,0.2125464655081332,0.3134903621063912,0.784786393711743,7.199999999999999,0.04517600000000005,0.24500000000000013,0.1475000000000001
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D07,type_B_quadratic_nontrivial,0.6,0.23807561823924767,0.3967926970654128,0.7303103146853147,7.199999999999999,0.056679999999999994,0.2766666666666667,0.1625
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D08,type_B_quadratic_nontrivial,0.514,0.2300956322923145,0.447656872164036,0.6986668741570701,7.199999999999999,0.052944000000000005,0.26999999999999996,0.15750000000000006
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D09,type_B_quadratic_nontrivial,0.458,0.21866869917754578,0.4774425746234624,0.6696110713247809,7.199999999999999,0.04781600000000001,0.25666666666666665,0.15250000000000002
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A01,type_B_quadratic_nontrivial,1.1,0.05656854249492379,0.05142594772265799,0.9642286225491923,7.199999999999999,0.003199999999999999,0.06666666666666687,0.039999999999999925
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A02,type_B_quadratic_nontrivial,1.1199999999999999,0.05656854249492361,0.05050762722761037,0.9648581463236637,7.199999999999999,0.003199999999999978,0.06666666666666636,0.039999999999999813
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A03,type_B_quadratic_nontrivial,1.186,0.08935323161475454,0.0753399929298099,0.9466717646522367,7.199999999999999,0.007983999999999972,0.10499999999999983,0.06499999999999984
TB3_ANHARMONIC_OSCILLATOR_1D_DENSE_SWEEP,AO_A04,type_B_quadratic_nontrivial,1.284,0.16644518617250545,0.12963020729945907,0.9130302341199141,7.199999999999999,0.027703999999999996,0.19500000000000006,0.11750000000000005
