family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,box_1d_quadratic_nonperiodic,delta_p,all_pairs,15,0.5939138709164987,0.6232416892764304,0.5538487756217113,0.7838462168705906,0,1,0.0,0.863,1,1,{}
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,box_1d_quadratic_nonperiodic,abs_delta_p,all_pairs,15,0.5939138709164987,0.6199158939327944,0.5537264937018235,0.7502827266317753,0,2,0.0,0.0,0,0,{}
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,box_1d_quadratic_nonperiodic,delta_p2,all_pairs,15,0.5430911182778503,0.5615387183842763,0.4166683494443324,0.7093934225894453,0,3,-0.05082275263864844,0.137,0,0,{}
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,box_1d_quadratic_nonperiodic,abs_delta_p2,all_pairs,15,0.5430911182778503,0.5651397261588689,0.42434550389493164,0.7173680040446421,0,4,-0.05082275263864844,0.0,0,0,{}
TD1_1D_BOX,BOX_STANDARD,type_D_regular_nonring,box_1d_quadratic_nonperiodic,delta_E_quad,all_pairs,15,0.5430911182778503,0.5612583297171566,0.41429144299805565,0.7336907865141877,0,5,-0.05082275263864844,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5526534293443065,0.5779860918035774,0.47050113584955344,0.7000366090759905,0,1,0.0,0.964,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5526534293443065,0.5794334790317534,0.47655233151752807,0.7021575568910531,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.4556919067133431,0.47234923770350584,0.24859809053251883,0.6391725654320229,0,3,-0.09696152263096341,0.036,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.4556919067133431,0.46938657710749027,0.2518620164665634,0.6429863351471321,0,4,-0.09696152263096341,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D01,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.4556919067133431,0.4684518704692721,0.23369267173760097,0.6438288202928277,0,5,-0.09696152263096341,0.0,0,0,{}
