run_id,species,mass_kg,velocity_model,velocity,momentum,lambda_db,k,frequency_mode,frequency,number_density,length_scale_score,energy_score,occupancy_score,signature_score,tau,tau_alignment_score,tau_response_score,tau_window_label
debroglie_matter_signature_run_a,hydrogen,1.673557692882144e-27,rms,2693.5613624356606,4.507830339354309e-24,1.4699022924960177e-10,42745598392.87147,kinetic_energy_based,9162382344005.215,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.001,0.0,0.0,off_window
debroglie_matter_signature_run_a,hydrogen,1.673557692882144e-27,rms,2693.5613624356606,4.507830339354309e-24,1.4699022924960177e-10,42745598392.87147,kinetic_energy_based,9162382344005.215,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.01,0.0,0.0,off_window
debroglie_matter_signature_run_a,hydrogen,1.673557692882144e-27,rms,2693.5613624356606,4.507830339354309e-24,1.4699022924960177e-10,42745598392.87147,kinetic_energy_based,9162382344005.215,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,0.1,0.0,0.0,off_window
debroglie_matter_signature_run_a,hydrogen,1.673557692882144e-27,rms,2693.5613624356606,4.507830339354309e-24,1.4699022924960177e-10,42745598392.87147,kinetic_energy_based,9162382344005.215,2.502858308970984e+25,1.0,0.5,0.5,0.6666666666666666,1.0,0.0,0.0,off_window
debroglie_matter_signature_run_a,sodium,3.8175410021560553e-26,rms,563.9691691922197,2.1529754273431845e-23,3.07763389486368e-11,204156359132.43973,kinetic_energy_based,9162382344005.217,2.502858308970984e+25,0.09612112579062518,0.5,0.5,0.36537370859687507,0.001,0.0,0.0,off_window
debroglie_matter_signature_run_a,sodium,3.8175410021560553e-26,rms,563.9691691922197,2.1529754273431845e-23,3.07763389486368e-11,204156359132.43973,kinetic_energy_based,9162382344005.217,2.502858308970984e+25,0.09612112579062518,0.5,0.5,0.36537370859687507,0.01,0.0,0.0,off_window
debroglie_matter_signature_run_a,sodium,3.8175410021560553e-26,rms,563.9691691922197,2.1529754273431845e-23,3.07763389486368e-11,204156359132.43973,kinetic_energy_based,9162382344005.217,2.502858308970984e+25,0.09612112579062518,0.5,0.5,0.36537370859687507,0.1,0.0,0.0,off_window
debroglie_matter_signature_run_a,sodium,3.8175410021560553e-26,rms,563.9691691922197,2.1529754273431845e-23,3.07763389486368e-11,204156359132.43973,kinetic_energy_based,9162382344005.217,2.502858308970984e+25,0.09612112579062518,0.5,0.5,0.36537370859687507,1.0,0.0,0.0,off_window
debroglie_matter_signature_run_a,carbon,1.99447347289326e-26,rms,780.2487574860686,1.5561854490638903e-23,4.257892370080863e-11,147565620759.4618,kinetic_energy_based,9162382344005.219,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,0.001,0.0,0.0,off_window
debroglie_matter_signature_run_a,carbon,1.99447347289326e-26,rms,780.2487574860686,1.5561854490638903e-23,4.257892370080863e-11,147565620759.4618,kinetic_energy_based,9162382344005.219,2.502858308970984e+25,0.28376967743288284,0.5,0.5,0.4279232258109609,0.01,0.0,0.0,off_window
